No,ID,Name,Birth,Sex,Idsocial
1,18120001,Nguyen Huu Khai Duy,6/6/2000,Nam,9733604
2,18120002,Dam Huy Giau,23/9/2000,Nam,9734643
3,18120003,Tang Nhat Hao,5/3/2000,Nu,3439917
4,18120004,Nguyen Dieu Linh,23/6/2000,Nam,8147434
5,18120005,Ngo Hong Phi Loan,12/2/2000,Nam,4697269
6,18120006,Nguyen Ho Nam,7/9/2000,Nu,1089851
7,18120007,Phan Nguyen Hoai Nam,6/8/2000,Nam,7583033
8,18120008,Bo Khanh Ngoc,11/8/2000,Nam,2610091
9,18120009,Nguyen Ba Thao Nguyen,27/11/2000,Nu,2663100
10,18120010,Nguyen Nhat Yen Phuong,19/1/2000,Nam,8728294
11,18120011,Tran Nguyen Tan,29/9/2000,Nam,7720238
12,18120012,Nguyen Hoang Phuc Tien,14/11/2000,Nu,2628907
13,18120013,Nguyen Le Phuong Trang,11/4/2000,Nam,5344463
14,18120014,Pham Thi Kim Thanh,15/1/2000,Nam,6274703
15,18120015,Pham Thi Bich Van,29/1/2000,Nu,4251249
16,18120016,Ly Xuan Anh,8/8/2000,Nam,6577639
17,18120017,Ngo Thi Kim Anh,7/7/2000,Nam,9788767
18,18120018,Ngo Thi Phuong Anh,22/9/2000,Nu,3352222
19,18120019,Nguyen Minh Tram Anh,11/3/2000,Nam,8591882
20,18120020,Pham My Anh,15/12/2000,Nam,6021680
21,18120021,Tran Thi Minh Anh,10/2/2000,Nu,6570367
22,18120022,Tran Ngoc Bac,6/4/2000,Nam,8647419
23,18120023,Vu Van Cang,19/1/2000,Nam,5607566
24,18120024,Doan Le Bao Chau,27/3/2000,Nu,6058715
25,18120025,Ha Vinh Kim Chau,11/8/2000,Nam,1579413
26,18120026,Doan Ngoc Uyen Chi,28/10/2000,Nam,2273272
27,18120027,Nguyen Ngoc Phuong Chi,26/5/2000,Nu,5617746
28,18120028,Phan Huu Chuc,3/12/2000,Nam,4325448
29,18120029,Nguyen Duy Anh Chuong,11/3/2000,Nam,2378495
30,18120030,Dang Quoc Cuong,12/11/2000,Nu,9983282
