No,ID,Name,Birth,Sex,Idsocial,
1,18170001,Thien Nhan,28/7/2000,Nam,3448721,
2,18170002,Ha Nhan,14/9/2000,Nu ,1575595,
3,18170003,Nga Tai,31/3/2000,Nam,5442340,
4,18170004,Ton Thu,4/12/2000,Nam,9488543,
5,18170005,Thanh Nhan,27/1/2000,Nam,1259558,
6,18170006,Ton Linh,7/7/2000,Nu ,4707212,
7,18170007,Nguyen Khang,2/1/2000,Nam,8356576,
8,18170008,Khanh Dien,20/9/2000,Nam,2289427,
9,18170009,Tau Ran,14/4/2000,Nam,9032890,
10,18170010,Thien Nguyen,12/9/2000,Nu ,1242392,
11,18170011,Thong Sanh,3/1/2000,Nam,4320507,
12,18170012,Sinh Nhut,17/5/2000,Nam,9971980,
13,18170013,Khang Khang,9/5/2000,Nam,7170643,
14,18170014,Huy ha,15/10/2000,Nu ,6052401,
15,18170015,Hung Phuc,5/9/2000,Nam,6720243,
16,18170016,le Cao,18/5/2000,Nam,2373036,
17,18170017,Le Hoang,27/9/2000,Nam,5708661,
18,18170018,Ling Trong,27/12/2000,Nu ,9800289,
19,18170019,Sa Thi Man,18/1/2000,Nam,3541151,
20,18170020,Xuat Son,12/2/2000,Nam,2831333,
21,18170021,But Linh,29/11/2000,Nam,3506861,
22,18170022,Quy Khu,14/9/2000,Nu ,1875228,
23,18170023,Khap Huyet,2/5/2000,Nam,9593298,
24,18170024,Van May,24/6/2000,Nam,9904386,
25,18170025,Ta Truc,24/3/2000,Nam,1380010,
26,18170026,Han Thien,23/5/2000,Nu ,3696934,
27,18170027,Sa Tuoc,29/12/2000,Nam,6888558,
28,18170028,Khiem Phuc,25/7/2000,Nam,9112563,
29,18170029,Khoi Thu,18/2/2000,Nam,7263460,
30,18170030,Van Da,1/7/2000,Nu ,8173786,
