STT,MSSV,TEN,LOP,DIEM GIUA KI,DIEM CUOI KI,DIEM KHAC,TONG KET
1,17110001,Tam Hoan,17TTH1,6.9,5.5,6.9,6.06
2,17110002,Hoang Kieu Huy,17TTH1,4.9,7,7.7,6.44
3,17110003,Cao Thanh Huy,17TTH1,1.1,2.6,3,2.19
4,17110004,Nguyen Linh,17TTH1,9,4.1,2.5,5.41
5,17110005,Huynh Thuy Mi,17TTH1,5.3,8.4,6.3,7.26
6,17110006,Phan  My,17TTH1,6.5,1.1,3,2.91
7,17110007, Tu Nhi,17TTH1,8.3,5.2,6.6,6.27
8,17110008,Th?ch Gia Quyen,17TTH1,9.7,7.3,3.6,7.65
9,17110009, Han Ry,17TTH1,3.6,4.5,4.3,4.21
10,17110010,Nguy?n Le Anh Th?,17TTH1,7.1,8.5,8,8.03
11,17110011,Thuy Tram,17TTH1,2.3,7.4,8.5,5.98
12,17110012,Trinh Quoc Cuong,17TTH1,3.3,7.3,5.5,5.92
13,17110013, Cao Anh Tu,17TTH1,8.7,2.6,4.5,4.62
14,17110014,Phuong Uyen,17TTH1,5.9,3,9.5,4.52
15,17110015,Linh An,17TTH1,4.9,7.2,9.2,6.71
16,17110016,Thuy Dung,17TTH1,8.7,9.6,3.5,8.72
17,17110017,Tung Bach,17TTH1,3.3,9.1,7.9,7.24
18,17110018,Le Minh Thu,17TTH1,7.8,5.8,3.2,6.14
19,17110019,Nguye Thieu ,17TTH1,6.3,6.5,9.8,6.77
20,17110020,Le Minh Hung,17TTH1,7.8,5.5,4.6,6.1
21,17110021,Le Trong Hung,17TTH1,9.9,5.4,6.3,6.84
22,17110022,Tuong Vy,17TTH1,4.3,3.2,5.9,3.8
23,17110023,Nguyen Linh,17TTH1,3.3,1.3,9.3,2.7
24,17110024,Phung Minh Kha,17TTH1,5.1,3.3,5.2,4.03
25,17110025, Hoang Long,17TTH1,8.5,1.3,4.9,3.82
26,17110026, Hoai Khanh Ly,17TTH1,2.6,8,9.7,6.55
27,17110027,Hoang My,17TTH1,8.2,5.4,9.5,6.65
28,17110028,Ky Nam,17TTH1,3.6,4.9,1.5,4.17
29,17110029,Vo Thuy ,17TTH1,2.3,2,5.3,2.42
30,17110030,Thuy Nhien,17TTH1,8.2,6.2,5.9,6.77
31,17150003,Bui  Tai,17SHH1,5.1,9.1,1.9,7.18
32,17150004,Co To Lam ,17SHH1,3,1.2,6.9,2.31
33,17150005,Khuyet Thinh,17SHH1,6.3,7.2,9.8,7.19
34,17150006,Thong Tai,17SHH1,2.3,6.1,9.2,5.27
35,17150007,Van Nam Giang Thi,17SHH1,3.1,3.1,1.5,2.94
36,17150008,Hao A Sinh,17SHH1,2.7,7.7,4.1,5.84
37,17150009,Huynh Ngoc Tram,17SHH1,1.4,5.3,2.5,3.85
38,17150010,Le Minh ,17SHH1,1.1,9.5,2,6.23
39,17150011,Le  Hoang Quan,17SHH1,5.1,9,8.7,7.8
40,17150012,Le Uyen Nhi,17SHH1,3.1,7.1,2.4,5.43
41,17150013,Mai Thanh Binh,17SHH1,1.2,6.3,1.6,4.3
42,17150014,Ghe Gom,17SHH1,7.6,7.3,9.7,7.63
43,17150015,Ngun Minh Duy,17SHH1,9.7,1.2,8.2,4.45
44,17150016,Nguyen Nung,17SHH1,6.9,2.1,4.3,3.76
45,17150017,Nguyen Tai,17SHH1,6.5,5.9,7.7,6.26
46,17150018, Kim Nhung,17SHH1,1.1,8,2,5.33
47,17150019, Thuy Trang,17SHH1,9.6,4.3,6.7,6.13
48,17150020,Tien Minh,17SHH1,7.7,4.6,5.7,5.64
49,17150021,Nguyen Tai,17SHH1,7.7,4,7.5,5.46
50,17150022,Nguyen Tung,17SHH1,8.6,9.4,7.8,9
51,17150023,Trinh Ngoc Thanh,17SHH1,1.6,8.2,2.3,5.63
52,17150024,Thien Tan,17SHH1,3.5,4.5,2.3,3.98
53,17150025,Truong Khoa,17SHH1,5.9,4.4,8.6,5.27
54,17150026,Lop Thanh,17SHH1,6.4,3.7,1.4,4.28
55,17150027,Duc Dao,17SHH1,8.4,7.9,5.2,7.78
56,17150028, Quang Huy,17SHH1,2.4,9.4,1.8,6.54
57,17150029, Thien Hao,17SHH1,5.5,8.6,4.8,7.29
58,17150030,Tuan Kiet,17SHH1,7.5,7.1,6.3,7.14
59,17150031,Truong  Trong Quoc,17SHH1,7.7,5.3,4.5,5.94
60,17150032,Vo Hoa,17SHH1,8,1.7,8.4,4.26
