ID,Name,Birth,Sex,Idsocial
18120033,A Thai,17/10/2000,Nam,7119511
18120034,Cao Hung,13/5/2000,Nam,6672022
18120035,Cao Thai,6/2/2000,Nam,1911510
18120036,Cortana,3/12/2000,Nu,7429264
18120037,Co Vo ,14/3/2000,Nam,9528939
18120038,Truong A,14/7/2000,Nam,3764660
18120039,Eo Thi Xa,15/11/2000,Nu,5831398
18120040,Hua Vo Thien,21/9/2000,Nam,4926784
18120041,Han Lap,15/3/2000,Nam,5544095
18120042,Huy Hoang,1/10/2000,Nam,3067031
18120043,Ghe Sa,13/3/2000,Nam,8755075
18120044,Khuong An An,28/7/2000,Nu,8662249
18120045,Khuong Vong,4/4/2000,Nam,3699330
18120046,Lam Bao Ngoc,6/3/2000,Nu,8803894
18120047,Lam Van Thien,4/6/2000,Nam,9582497
18120048,Long Tuoc,5/7/2000,Nam,5851633
18120049,Luc Tram,6/10/2000,Nam,4458620
18120050,Mieu A Cau,29/5/2000,Nam,9631535
18120051,Nga Tam,4/6/2000,Nam,9109761
18120052,Ngo Th?a An,26/5/2000,Nam,8269666
18120053,Nguyen Hoa,23/1/2000,Nam,1698302
18120054,Nguyen Thi A,7/4/2000,Nam,7425584
18120055,Thien Sinh,16/6/2000,Nam,5664489
18120056,Tran Binh An,14/3/2000,Nam,8397890
18120057,Tran Vong Tinh,30/12/2000,Nu,6530776
18120058,Truong Tieu Pham,21/12/2000,Nam,4748439
18120059,Vuong Chi Hao,5/5/2000,Nam,8745937
18120060,Vuong Thong Thien,25/12/2000,Nu,9371947
18120061,Vuong Vong Thien,15/6/2000,Nam,1083112
18120062,Vuong Trieu,5/9/2000,Nam,5755513
18150020,Nguyen Tien Dat,8/5/2000,Nam,5436315
18150022,Tran Nguyen Thanh Dat,21/5/2000,Nam,6583531
18150024,Tran Nguyen Minh Dong,5/11/2000,Nu,7892886
18150026,Ho Thi Kim Dung,23/9/2000,Nam,4200589
18150028,Le Thi Thuy Duong,4/1/2000,Nam,1880769
18150030,Mai Quoc Duy,14/10/2000,Nu,7128167
18150032,Nguyen Thi Hong Gam,23/7/2000,Nam,7609730
18150034,Nguyen Quynh Giang,23/5/2000,Nam,4662208
18150036,Nguyen Thi Thu Ha,6/12/2000,Nu,8649955
18150038,Tran My Han,12/3/2000,Nam,4240891
18150040,Le Ngoc Thanh Hien,30/8/2000,Nam,6325659
18150042,Le Viet Hien,1/6/2000,Nu,2897949
18150044,Vo Minh Hieu,28/9/2000,Nam,5000730
18150046,Phan My Hue,28/7/2000,Nam,1665888
18150048,Nguyen Thi Kim Huong,26/12/2000,Nu,3058472
18150050,Nguyen Le Hoang Huy,11/11/2000,Nam,6868950
18150052,Tang Giac Huy,23/8/2000,Nam,5794959
18150054,Dao Thi Huyen,25/10/2000,Nu,2694830
18150056,Huynh Tan Thanh Kha,5/10/2000,Nam,3310983
18150058,Tran Van Khai,4/9/2000,Nam,3561838
18150060,Truong Vi Khang,30/10/2000,Nu,3796985
18150062,Dang Dang Khoa,17/4/2000,Nam,5539753
18150064,Nguyen Tran Nhac Khoa,18/3/2000,Nam,3300942
18150066,Ho Le Minh Khue,24/12/2000,Nu,6412820
18150068,Pham Thi Thuy Kieu,1/1/2000,Nam,4706005
18150070,Pham Tran Thien Kim,6/2/2000,Nam,3878874
18150072,Le Vinh Lam,17/4/2000,Nu,6731505
18150074,Nguy Ngoc Hoang Lan,15/8/2000,Nam,1749892
18150076,Dang Thi Yen Linh,29/5/2000,Nam,6837692
18150078,Nguyen Doan Nhu Linh,30/6/2000,Nu,4504613
