ID,Name,Birth,Sex,Idsocial
18110001,Nguyen Hoang Gia Linh,9/8/2000,Nam,7239651
18110004,Nguyen Thi Truc Linh,12/7/2000,Nam,4339550
18110007,Tran Quang Linh,11/7/2000,Nu,5598758
18110010,Nguyen Huu Loc,23/5/2000,Nam,2587232
18110013,Nguyen Cam Ly,8/2/2000,Nam,5454686
18110016,Nguyen Quang Minh,27/5/2000,Nu,4660416
18110019,Ta Duong Anh Minh,13/11/2000,Nam,2499353
18110022,Ngo Quynh My,11/1/2000,Nam,6928825
18110025,Nguyen Mai Nhat My,2/7/2000,Nu,4935881
18110028,Tran Thi Truc My,21/7/2000,Nam,4886718
18110031,Dang Hoang Nam,14/1/2000,Nam,9063093
18110034,Ly Kim Ngan,7/11/2000,Nu,5148855
18110037,Nguyen Huynh Kim Ngan,15/5/2000,Nam,7525081
18110040,Tran Vu Kim Ngan,18/12/2000,Nam,3364640
18110043,Luong Ngoc Nghi,23/4/2000,Nu,9165601
18110046,Nguyen Phuong Nghi,18/2/2000,Nam,7034521
18110049,Tran Phuong Nghi,28/2/2000,Nam,6376942
18110052,Truong Tu Nghi,2/4/2000,Nu,8107546
18110055,Tran Le Thanh Ngoc,16/7/2000,Nam,9538736
18110058,Do Ngoc Phuong Nhi,8/1/2000,Nam,4704195
18110061,Nguyen Ngoc Nhu,4/8/2000,Nu,9875786
18110064,Tran Quynh Nhu,9/3/2000,Nam,9860002
18110067,Van Cam Nhung,16/10/2000,Nam,1216374
18110070,Ha Hoang Oanh,12/7/2000,Nu,1315471
18110073,Bui Tan Phat,4/1/2000,Nam,7419309
18110076,Nguyen Tan Phat,30/5/2000,Nam,6192477
18110079,Quach Hong Phat,5/2/2000,Nu,2978609
18110082,Huynh Yen Phi,27/4/2000,Nam,7099102
18110085,Nguyen Dinh Phi,9/8/2000,Nam,6292278
18110088,Lam Dinh Gia Phu,7/5/2000,Nu,2141377
