STT,MSSV,TEN,LOP,DIEM GIUA KI,DIEM CUOI KI,DIEM KHAC,TONG KET
1,17110001,Tam Hoan,17TTH1,9.3,3.6,2.3,5.18
2,17110002,Hoang Kieu Huy,17TTH1,8.9,7.1,7.7,7.7
3,17110003,Cao Thanh Huy,17TTH1,8,3.3,3.3,4.71
4,17110004,Nguyen Linh,17TTH1,6.8,6.4,7.9,6.67
5,17110005,Huynh Thuy Mi,17TTH1,3.7,6,9.9,5.7
6,17110006,Phan  My,17TTH1,3.3,8.9,8.3,7.16
7,17110007, Tu Nhi,17TTH1,4.4,8.2,6,6.84
8,17110008,Th?ch Gia Quyen,17TTH1,1.4,5.4,4.2,4.08
9,17110009, Han Ry,17TTH1,5.2,5.5,4,5.26
10,17110010,Nguy?n Le Anh Th?,17TTH1,6.4,7.1,7.2,6.9
11,17110011,Thuy Tram,17TTH1,7.8,2.1,1.7,3.77
12,17110012,Trinh Quoc Cuong,17TTH1,5.3,6.5,2.6,5.75
13,17110013, Cao Anh Tu,17TTH1,7.3,8,6,7.59
14,17110014,Phuong Uyen,17TTH1,9.7,6.2,6.2,7.25
15,17110015,Linh An,17TTH1,7.1,6.5,7.4,6.77
16,17110016,Thuy Dung,17TTH1,4.6,5.5,8.6,5.54
17,17110017,Tung Bach,17TTH1,7.1,9.7,9.5,8.9
18,17110018,Le Minh Thu,17TTH1,2.8,8.5,10,6.94
19,17110019,Nguye Thieu ,17TTH1,1.6,2.7,8.9,2.99
20,17110020,Le Minh Hung,17TTH1,9.4,2.6,8.2,5.2
21,17110021,Le Trong Hung,17TTH1,5.1,1.2,5.9,2.84
22,17110022,Tuong Vy,17TTH1,8.2,1.5,6.4,4
23,17110023,Nguyen Linh,17TTH1,7.8,2.6,6.3,4.53
24,17110024,Phung Minh Kha,17TTH1,4.9,1.8,6,3.15
25,17110025, Hoang Long,17TTH1,6.5,8.4,4.3,7.42
26,17110026, Hoai Khanh Ly,17TTH1,1.1,2.2,8.5,2.5
27,17110027,Hoang My,17TTH1,6.8,7.7,8.6,7.52
28,17110028,Ky Nam,17TTH1,8.3,8.9,3.6,8.19
29,17110029,Vo Thuy ,17TTH1,3.3,8.9,7.4,7.07
30,17110030,Thuy Nhien,17TTH1,3.6,7.5,2.4,5.82
