STT,MSSV,TEN,LOP,DIEM GIUA KI,DIEM CUOI KI,DIEM KHAC,TONG KET
1,18120033,A Thai,18CTT2,5.7,7.1,3.8,6.35
2,18120034,Cao Hung,18CTT2,2.6,7.2,9.5,6.05
3,18120035,Cao Thai,18CTT2,6.1,7.9,4.6,7.03
4,18120036,Cortana,18CTT2,1.2,5.7,5.4,4.32
5,18120037,Co Vo ,18CTT2,1.2,2.8,2.6,2.3
6,18120038,Truong A,18CTT2,6,9.3,3,7.68
7,18120039,Eo Thi Xa,18CTT2,9.9,9.5,8.3,9.5
8,18120040,Hua Vo Thien,18CTT2,7.6,6.5,7.3,6.91
9,18120041,Han Lap,18CTT2,3.4,5.2,8.3,4.97
10,18120042,Huy Hoang,18CTT2,3.3,4,4.8,3.87
11,18120043,Ghe Sa,18CTT2,2.3,4,3,3.39
12,18120044,Khuong An An,18CTT2,2.5,8,7.7,6.32
13,18120045,Khuong Vong,18CTT2,1.1,1.6,5.6,1.85
14,18120046,Lam Bao Ngoc,18CTT2,3.1,3.5,7.7,3.8
15,18120047,Lam Van Thien,18CTT2,2.4,7.7,9.9,6.33
16,18120048,Long Tuoc,18CTT2,7.7,8.1,7.5,7.92
17,18120049,Luc Tram,18CTT2,9,2.4,2.3,4.37
18,18120050,Mieu A Cau,18CTT2,3,6.8,7.8,5.76
19,18120051,Nga Tam,18CTT2,6.1,6.4,8.6,6.53
20,18120052,Ngo Th?a An,18CTT2,3.7,6,7.6,5.47
21,18120053,Nguyen Hoa,18CTT2,7.4,5.5,9.9,6.51
22,18120054,Nguyen Thi A,18CTT2,2.7,3.4,9.1,3.76
23,18120055,Thien Sinh,18CTT2,7.6,8.1,7.4,7.88
24,18120056,Tran Binh An,18CTT2,6.1,7.9,2.4,6.81
25,18120057,Tran Vong Tinh,18CTT2,4.1,5.5,7.5,5.28
26,18120058,Truong Tieu Pham,18CTT2,6.9,9.8,1.9,8.14
27,18120059,Vuong Chi Hao,18CTT2,1.3,7.2,4.5,5.16
28,18120060,Vuong Thong Thien,18CTT2,1.8,8.2,3.2,5.78
29,18120061,Vuong Vong Thien,18CTT2,8.4,5.2,2.2,5.86
30,18120062,Vuong Trieu,18CTT2,8.8,9.9,9.4,9.52
31,18150020,Nguyen Tien Dat,18SHH1,2.5,6,9.1,5.26
32,18150022,Tran Nguyen Thanh Dat,18SHH1,2.8,3.8,2.7,3.39
33,18150024,Tran Nguyen Minh Dong,18SHH1,2.2,6.9,4.3,5.23
34,18150026,Ho Thi Kim Dung,18SHH1,2.8,8.5,9.4,6.88
35,18150028,Le Thi Thuy Duong,18SHH1,3.2,5.7,8.4,5.22
36,18150030,Mai Quoc Duy,18SHH1,7.5,1.9,8.3,4.22
37,18150032,Nguyen Thi Hong Gam,18SHH1,3.2,9.8,8.1,7.65
38,18150034,Nguyen Quynh Giang,18SHH1,2.6,1.2,5.8,2.08
39,18150036,Nguyen Thi Thu Ha,18SHH1,9.8,4,2.7,5.61
40,18150038,Tran My Han,18SHH1,4.1,1.9,9.2,3.29
41,18150040,Le Ngoc Thanh Hien,18SHH1,5.1,3.6,2.6,3.95
42,18150042,Le Viet Hien,18SHH1,9.8,3.2,9.7,5.83
43,18150044,Vo Minh Hieu,18SHH1,8.5,5.8,8.8,6.91
44,18150046,Phan My Hue,18SHH1,5.5,9,1.2,7.17
45,18150048,Nguyen Thi Kim Huong,18SHH1,4.7,4.2,3.3,4.26
46,18150050,Nguyen Le Hoang Huy,18SHH1,4.3,4.2,6.2,4.43
47,18150052,Tang Giac Huy,18SHH1,5.6,5.7,3.3,5.43
48,18150054,Dao Thi Huyen,18SHH1,1.8,4.5,6.6,3.9
49,18150056,Huynh Tan Thanh Kha,18SHH1,9.1,9.1,1.5,8.34
50,18150058,Tran Van Khai,18SHH1,4.6,6.1,4.7,5.51
51,18150060,Truong Vi Khang,18SHH1,9.7,6.5,6,7.41
52,18150062,Dang Dang Khoa,18SHH1,4.4,4.1,9.2,4.7
53,18150064,Nguyen Tran Nhac Khoa,18SHH1,2.7,4.4,4.3,3.88
54,18150066,Ho Le Minh Khue,18SHH1,6.1,3.1,1.2,3.81
55,18150068,Pham Thi Thuy Kieu,18SHH1,2.2,4.5,8.9,4.25
56,18150070,Pham Tran Thien Kim,18SHH1,9.9,3.6,8.3,5.96
57,18150072,Le Vinh Lam,18SHH1,8.7,2.4,8.8,4.93
58,18150074,Nguy Ngoc Hoang Lan,18SHH1,5.2,9,4,7.36
59,18150076,Dang Thi Yen Linh,18SHH1,4.9,6.3,3.2,5.57
60,18150078,Nguyen Doan Nhu Linh,18SHH1,3.4,2.9,4.8,3.24
