STT,MSSV,TEN,LOP,DIEM GIUA KI,DIEM CUOI KI,DIEM KHAC,TONG KET
1,17171717,Le Hoai Anh,17HOH1,4.1,9.9,4.5,7.62
2,17171718,Le Quynh Anh,17HOH1,5.5,2.1,2,3.11
3,17171719,Hoang Chi Vo,17HOH1,4.3,5,2.5,4.54
4,17171720,Nguyen Gia Bao,17HOH1,8.7,6.6,8.2,7.39
5,17171721,Nguyen Kim ,17HOH1,2.6,6.4,7.8,5.4
6,17171722,Nguyen Anh Bao,17HOH1,7.4,7.1,4.2,6.9
7,17171723,Tran Hoang Anh Khoa,17HOH1,9.3,8.8,8.3,8.9
8,17171724,Tran Hoang Khoi,17HOH1,5.7,3.2,7,4.33
9,17171725,Du Quang Luc,17HOH1,9.9,4.7,1.3,5.92
10,17171726,Nguyen Hung Luc,17HOH1,6.7,7.7,6.4,7.27
11,17171727,Nguyen Huu Minh,17HOH1,9.2,6.1,2.4,6.66
12,17171728,Nguyen Truong Thang,17HOH1,10,4,4.7,5.87
13,17171729,Dieu Ngoc,17HOH1,3.1,3.7,1.7,3.32
14,17171730,Truong Tieu Thanh,17HOH1,7.7,8.6,3.8,7.85
15,17171731,Duong Ngoc Phong,17HOH1,3.8,4.7,3.4,4.3
16,17171732,To Tran Thien Phuc,17HOH1,1.3,1.7,1.9,1.6
17,17171733,Nguy Anh Quan,17HOH1,2.4,8.6,5.6,6.44
18,17171734,Vo Thanh Thien,17HOH1,3.9,3.2,9.5,4.04
19,17171735,Nguyen Huynh Tram,17HOH1,9,4.5,3.4,5.74
20,17171736,Le Hoang Thien Y,17HOH1,6.5,5,4.5,5.4
21,17171737,Ly Tinh,17HOH1,5.8,6.1,4.9,5.89
22,17171738,Le Loc,17HOH1,2.4,1.3,4.3,1.93
23,17171739,Gigolo,17HOH1,6.1,2.9,1.8,3.75
24,17171740,Tyrant,17HOH1,3.1,1.8,8.3,2.84
25,17171741,Racist,17HOH1,8.7,9.5,7.5,9.06
26,17171742,Brotherhood,17HOH1,4.6,2.2,7,3.4
27,17171743,Robinhood,17HOH1,7.1,4.6,7.8,5.67
28,17171744,Captain Kirt,17HOH1,7.1,3.9,3.4,4.81
29,17171745,Di Van,17HOH1,2.2,2.5,7.2,2.88
30,17171746,Do Day,17HOH1,9.3,4.2,5.9,5.9
31,18110001,Nguyen Hoang Gia Linh,18TTH1,8.5,6.5,7.5,7.2
32,18110004,Nguyen Thi Truc Linh,18TTH1,9.7,1.9,4.2,4.47
33,18110007,Tran Quang Linh,18TTH1,5.2,6.9,5.6,6.26
34,18110010,Nguyen Huu Loc,18TTH1,6.5,4.4,2.5,4.84
35,18110013,Nguyen Cam Ly,18TTH1,7.7,5,7.1,6.02
36,18110016,Nguyen Quang Minh,18TTH1,4.1,6.9,4.5,5.82
37,18110019,Ta Duong Anh Minh,18TTH1,9.6,9.5,9.5,9.53
38,18110022,Ngo Quynh My,18TTH1,8.7,8.4,1.4,7.79
39,18110025,Nguyen Mai Nhat My,18TTH1,7.8,6.9,2.6,6.74
40,18110028,Tran Thi Truc My,18TTH1,9.4,6.8,5.3,7.43
41,18110031,Dang Hoang Nam,18TTH1,2.6,5.7,9.2,5.12
42,18110034,Ly Kim Ngan,18TTH1,8.9,1.9,6.6,4.47
43,18110037,Nguyen Huynh Kim Ngan,18TTH1,4.9,9.2,7.7,7.76
44,18110040,Tran Vu Kim Ngan,18TTH1,4.1,9.3,3.5,7.16
45,18110043,Luong Ngoc Nghi,18TTH1,7.9,8.2,9.8,8.27
46,18110046,Nguyen Phuong Nghi,18TTH1,4.9,6.7,2.6,5.75
47,18110049,Tran Phuong Nghi,18TTH1,3.7,5.7,9,5.43
48,18110052,Truong Tu Nghi,18TTH1,7.2,6.5,3.3,6.39
49,18110055,Tran Le Thanh Ngoc,18TTH1,8.2,1.7,9.1,4.39
50,18110058,Do Ngoc Phuong Nhi,18TTH1,4.4,6.7,6.3,5.97
51,18110061,Nguyen Ngoc Nhu,18TTH1,8.9,8.8,3.6,8.31
52,18110064,Tran Quynh Nhu,18TTH1,2.5,9.4,8,7.19
53,18110067,Van Cam Nhung,18TTH1,4.1,7.2,8,6.35
54,18110070,Ha Hoang Oanh,18TTH1,3.3,4.7,6.5,4.46
55,18110073,Bui Tan Phat,18TTH1,7.9,4.8,9.5,6.2
56,18110076,Nguyen Tan Phat,18TTH1,1.8,1.5,5.6,2
57,18110079,Quach Hong Phat,18TTH1,4.5,6.5,4.7,5.72
58,18110082,Huynh Yen Phi,18TTH1,9.6,1.2,3.1,3.91
59,18110085,Nguyen Dinh Phi,18TTH1,4.4,3.1,6.3,3.81
60,18110088,Lam Dinh Gia Phu,18TTH1,2.4,9.9,4.5,7.11
