STT,MSSV,TEN,LOP,DIEM GIUA KI,DIEM CUOI KI,DIEM KHAC,TONG KET
1,17120001,17CTT1,9/5/1999,7.5,3.7,2.5,4.72
2,17120002,17CTT1,21/12/1999,7.8,4.9,4.9,5.77
3,17120003,17CTT1,15/5/1999,2.5,3.6,4.2,3.33
4,17120004,17CTT1,23/9/1999,10,9.7,5.4,9.36
5,17120005,17CTT1,2/1/1999,8.7,6.9,1.8,6.93
6,17120006,17CTT1,7/6/1999,1.3,8.6,9.3,6.48
7,17120007,17CTT1,24/5/1999,4.1,6.8,2.1,5.52
8,17120008,17CTT1,11/4/1999,4.7,5.7,10,5.83
9,17120009,17CTT1,20/5/1999,9,6.8,6.3,7.41
10,17120010,17CTT1,3/7/1999,5.5,5.2,9.3,5.7
11,17120011,17CTT1,19/7/1999,7,2.1,5.6,3.92
12,17120012,17CTT1,9/10/1999,5.7,8.5,1.7,6.98
13,17120013,17CTT1,31/5/1999,6.2,4,8.1,5.07
14,17120014,17CTT1,24/11/1999,9,2.1,3.8,4.34
15,17120015,17CTT1,7/2/1999,6.1,4.6,2.6,4.85
16,17120016,17CTT1,14/10/1999,7.8,6.8,1.5,6.57
17,17120017,17CTT1,25/10/1999,8.8,1.7,9.8,4.64
18,17120018,17CTT1,27/2/1999,4.9,5.4,9.4,5.65
19,17120019,17CTT1,7/4/1999,6.3,1.8,9.2,3.89
20,17120020,17CTT1,7/9/1999,3.6,6.2,2.3,5.03
21,17120021,17CTT1,29/4/1999,5.7,7.2,6.5,6.68
22,17120022,17CTT1,16/6/1999,4.1,5.2,8.8,5.23
23,17120023,17CTT1,27/10/1999,2.6,7.1,5.4,5.58
24,17120024,17CTT1,11/2/1999,5.1,8,3,6.63
25,17120025,17CTT1,3/9/1999,5,2.7,2.9,3.41
26,17120026,17CTT1,17/9/1999,8.5,8.4,1.7,7.76
27,17120027,17CTT1,14/6/1999,4.2,9.3,4.4,7.28
28,17120028,17CTT1,29/5/1999,8.2,3.2,2.9,4.67
29,17120029,17CTT1,28/3/1999,10,6.4,4.5,7.29
30,17120030,17CTT1,23/4/1999,9,3.5,7.3,5.53
31,17120031,17CTT2,3/3/1999,8.3,5.9,3.2,6.35
32,17120032,17CTT2,20/2/1999,7.1,4.2,7.8,5.43
33,17120033,17CTT2,18/7/1999,1.4,8.1,9.6,6.24
34,17120034,17CTT2,12/5/1999,8.4,5,4.3,5.95
