STT,MSSV,TEN,LOP,DIEM GIUA KI,DIEM CUOI KI,DIEM KHAC,TONG KET
1,18120033,A Thai,18CTT2,6.6,8.7,7.7,7.97
2,18120034,Cao Hung,18CTT2,5.5,7.3,8.3,6.86
3,18120035,Cao Thai,18CTT2,8.8,2.2,7.6,4.72
4,18120036,Cortana,18CTT2,2.7,3,1.8,2.79
5,18120037,Co Vo ,18CTT2,7.9,9.1,8.8,8.71
6,18120038,Truong A,18CTT2,8,3.9,5.3,5.27
7,18120039,Eo Thi Xa,18CTT2,5.5,9.6,7,8.11
8,18120040,Hua Vo Thien,18CTT2,3.3,2.3,3.1,2.68
9,18120041,Han Lap,18CTT2,7.6,1.4,2.8,3.4
10,18120042,Huy Hoang,18CTT2,9.8,8.5,8.4,8.88
11,18120043,Ghe Sa,18CTT2,8.3,9.1,4.9,8.44
12,18120044,Khuong An An,18CTT2,1.3,2.6,7.3,2.68
13,18120045,Khuong Vong,18CTT2,8,3.4,5.4,4.98
14,18120046,Lam Bao Ngoc,18CTT2,5.3,1.1,6.3,2.88
15,18120047,Lam Van Thien,18CTT2,2,8.7,3.9,6.21
16,18120048,Long Tuoc,18CTT2,2.5,4.5,2.4,3.69
17,18120049,Luc Tram,18CTT2,7.1,4,2.5,4.78
18,18120050,Mieu A Cau,18CTT2,3.8,9.3,5.5,7.27
19,18120051,Nga Tam,18CTT2,7.9,4.3,1.9,5.14
20,18120052,Ngo Th?a An,18CTT2,4.9,8.1,1.5,6.48
21,18120053,Nguyen Hoa,18CTT2,5.9,8.7,2.3,7.22
22,18120054,Nguyen Thi A,18CTT2,2.4,7.3,9.7,6.07
23,18120055,Thien Sinh,18CTT2,7.9,2.8,2.3,4.28
24,18120056,Tran Binh An,18CTT2,9.6,9.8,7.9,9.55
25,18120057,Tran Vong Tinh,18CTT2,9.7,8,3,8.01
26,18120058,Truong Tieu Pham,18CTT2,7.6,9.2,8.7,8.67
27,18120059,Vuong Chi Hao,18CTT2,2.9,5.5,5,4.67
28,18120060,Vuong Thong Thien,18CTT2,9.2,4,9.4,6.1
29,18120061,Vuong Vong Thien,18CTT2,3.3,1.2,1.1,1.82
30,18120062,Vuong Trieu,18CTT2,9.9,2.1,4.2,4.65
31,18150020,Nguyen Tien Dat,18HOH1,6.4,4.8,5.3,5.33
32,18150022,Tran Nguyen Thanh Dat,18HOH1,4.9,6.5,6.2,5.99
33,18150024,Tran Nguyen Minh Dong,18HOH1,1.2,8.6,9.8,6.5
34,18150026,Ho Thi Kim Dung,18HOH1,5.5,2.1,4.7,3.38
35,18150028,Le Thi Thuy Duong,18HOH1,1.9,3.9,3.3,3.24
36,18150030,Mai Quoc Duy,18HOH1,2.2,9.6,4,6.82
37,18150032,Nguyen Thi Hong Gam,18HOH1,6.2,9.7,3.9,8.07
38,18150034,Nguyen Quynh Giang,18HOH1,2.9,7.6,5.8,6.01
39,18150036,Nguyen Thi Thu Ha,18HOH1,6.3,8.1,9.3,7.68
40,18150038,Tran My Han,18HOH1,3.6,6.1,7.1,5.45
41,18150040,Le Ngoc Thanh Hien,18HOH1,8.7,2,5.9,4.4
42,18150042,Le Viet Hien,18HOH1,9.4,6.1,9,7.38
43,18150044,Vo Minh Hieu,18HOH1,7,5.9,3.4,5.98
44,18150046,Phan My Hue,18HOH1,7.1,3.4,3.4,4.51
45,18150048,Nguyen Thi Kim Huong,18HOH1,7.3,8.8,6.2,8.09
46,18150050,Nguyen Le Hoang Huy,18HOH1,8.9,7.5,5.2,7.69
47,18150052,Tang Giac Huy,18HOH1,1.4,3.8,2,2.9
48,18150054,Dao Thi Huyen,18HOH1,9.7,7.3,9,8.19
49,18150056,Huynh Tan Thanh Kha,18HOH1,9.4,9.3,4.9,8.89
50,18150058,Tran Van Khai,18HOH1,4.5,6.4,3.7,5.56
51,18150060,Truong Vi Khang,18HOH1,3.9,5.6,1.6,4.69
52,18150062,Dang Dang Khoa,18HOH1,8.6,6.3,4,6.76
53,18150064,Nguyen Tran Nhac Khoa,18HOH1,9.4,1.1,1.9,3.67
54,18150066,Ho Le Minh Khue,18HOH1,8.4,6.5,8.8,7.3
55,18150068,Pham Thi Thuy Kieu,18HOH1,2.3,9.1,1.8,6.33
56,18150070,Pham Tran Thien Kim,18HOH1,3.3,6.2,8.6,5.57
57,18150072,Le Vinh Lam,18HOH1,5,2.4,9.9,3.93
58,18150074,Nguy Ngoc Hoang Lan,18HOH1,4.1,5.4,1.1,4.58
59,18150076,Dang Thi Yen Linh,18HOH1,4.9,9.9,2,7.61
60,18150078,Nguyen Doan Nhu Linh,18HOH1,6.3,9.4,9,8.43
