ID,Name,Birth,Sex,Idsocial
19150001,Pham Huy Truong Duc,16/5/2000,Nam,9171891
19150002,Vo Ho Thanh Duy,20/11/2000,Nam,2307147
19150003,Le Thi Thuy Giang,29/4/2000,Nu,3561181
19150004,Huynh Gia Han,5/7/2000,Nam,1237672
19150005,Nguyen Thi Ngoc Han,8/10/2000,Nam,1912271
19150006,Ngo Quoc Hieu,21/8/2000,Nu,9568514
19150007,Tran Minh Hoang,17/12/2000,Nam,5673076
19150008,Nguyen Thi My Hong,24/1/2000,Nam,2818979
19150009,Truong Nguyen Ngoc Hue,29/8/2000,Nu,4581835
19150010,Van Ngoc Khai,30/4/2000,Nam,4514975
19150011,Vo Phi Long,19/9/2000,Nam,9413243
19150012,Nguyen Viet Luan,15/4/2000,Nu,7760233
19150013,Khuu To Nga,11/12/2000,Nam,3404299
19150014,Nguyen Luu Bich Ngan,14/9/2000,Nam,8019733
19150015,Truong Thanh Ngan,5/11/2000,Nu,7178602
19150016,Vo Thanh Ngan,21/8/2000,Nam,3367349
19150017,Vo Thi Hong Nguyen,24/8/2000,Nam,7644918
19150018,Nguyen Quynh Nhu,30/11/2000,Nu,1004162
19150019,Phan Thi Hoang Oanh,7/5/2000,Nam,3375481
19150020,Bui Lieu Mai Phuong,16/4/2000,Nam,6643584
19150021,Pham Le Anh Quan,27/1/2000,Nu,7487098
19150022,Nguyen Ngoc Nhu Quynh,16/11/2000,Nam,2070463
19150023,Dinh Van Thanh,24/4/2000,Nam,3982751
19150024,Le Hoang Nhu Thao,28/5/2000,Nu,1451386
19150025,Nguyen Thi Phuong Thi,26/8/2000,Nam,8112057
19150026,Mai Huynh Chi Thong,25/10/2000,Nam,9445872
19150027,Dang Pham Anh Thu,6/10/2000,Nu,3698812
19150028,Ngo Thien Thu,21/3/2000,Nam,1896238
19150029,Nguyen Chi Hoa Thuan,5/4/2000,Nam,7036457
19150030,Cao Hoang Khanh Tran,3/1/2000,Nu,3928925
