ID,Name,Birth,Sex,Idsocial
17110001,Tam Hoan,3/11/1999,Nam ,3502335
17110002,Hoang Kieu Huy,21/11/1999,Nam ,1791793
17110003,Cao Thanh Huy,14/11/1999,Nu,3779848
17110004,Nguyen Linh,25/12/1999,Nam ,9412817
17110005,Huynh Thuy Mi,11/11/1999,Nu,6260856
17110006,Phan  My,16/12/1999,Nam ,8429424
17110007, Tu Nhi,25/11/1999,Nam ,1577186
17110008,Th?ch Gia Quyen,9/11/1999,Nu,7853018
17110009, Han Ry,10/12/1999,Nam ,4279587
17110010,Nguy?n Le Anh Th?,3/11/1999,Nu,7403238
17110011,Thuy Tram,28/11/1999,Nam ,9606896
17110012,Trinh Quoc Cuong,9/12/1999,Nam ,6071461
17110013, Cao Anh Tu,15/12/1999,Nu,8918506
17110014,Phuong Uyen,6/12/1999,Nam ,6991680
17110015,Linh An,23/12/1999,Nu,3214474
17110016,Thuy Dung,1/11/1999,Nam ,6359534
17110017,Tung Bach,22/12/1999,Nam ,3650032
17110018,Le Minh Thu,29/11/1999,Nu,9112890
17110019,Nguye Thieu ,13/12/1999,Nam ,6417863
17110020,Le Minh Hung,10/11/1999,Nu,8978329
17110021,Le Trong Hung,8/11/1999,Nam ,2674350
17110022,Tuong Vy,1/12/1999,Nam ,4161326
17110023,Nguyen Linh,8/12/1999,Nu,1022802
17110024,Phung Minh Kha,2/12/1999,Nam ,1655020
17110025, Hoang Long,8/11/1999,Nu,8227944
17110026, Hoai Khanh Ly,3/12/1999,Nam ,9792561
17110027,Hoang My,20/12/1999,Nam ,9612049
17110028,Ky Nam,5/12/1999,Nu,1203875
17110029,Vo Thuy ,27/12/1999,Nam ,4404699
17110030,Thuy Nhien,14/12/1999,Nu,5298355
17150003,Bui  Tai,3/11/1999,Nam,8012044
17150004,Co To Lam ,21/11/1999,Nu,2140762
17150005,Khuyet Thinh,14/11/1999,Nu,9828928
17150006,Thong Tai,25/12/1999,Nu,6224445
17150007,Van Nam Giang Thi,11/11/1999,Nam,4428944
17150008,Hao A Sinh,16/12/1999,Nam,4620615
17150009,Huynh Ngoc Tram,25/11/1999,Nu,6972489
17150010,Le Minh ,9/11/1999,Nu,6000524
17150011,Le  Hoang Quan,10/12/1999,Nu,3624236
17150012,Le Uyen Nhi,3/11/1999,Nam,4566106
17150013,Mai Thanh Binh,28/11/1999,Nam,9564314
17150014,Ghe Gom,9/12/1999,Nu,7895501
17150015,Ngun Minh Duy,15/12/1999,Nu,7152274
17150016,Nguyen Nung,6/12/1999,Nu,7823356
17150017,Nguyen Tai,23/12/1999,Nam,7566347
17150018, Kim Nhung,1/11/1999,Nam,6792749
17150019, Thuy Trang,22/12/1999,Nu,7374241
17150020,Tien Minh,29/11/1999,Nu,6722564
17150021,Nguyen Tai,13/12/1999,Nu,6469631
17150022,Nguyen Tung,10/11/1999,Nam,1323038
17150023,Trinh Ngoc Thanh,8/11/1999,Nam,8819681
17150024,Thien Tan,1/12/1999,Nu,3082121
17150025,Truong Khoa,8/12/1999,Nu,9428065
17150026,Lop Thanh,2/12/1999,Nu,2855334
17150027,Duc Dao,8/11/1999,Nam,8586141
17150028, Quang Huy,3/12/1999,Nam,6089307
17150029, Thien Hao,20/12/1999,Nu,8373841
17150030,Tuan Kiet,5/12/1999,Nu,2715971
17150031,Truong  Trong Quoc,27/12/1999,Nu,9770424
17150032,Vo Hoa,14/12/1999,Nam,6894932
