No,ID,Name,Birth,Sex,Idsocial
1,19150001,Pham Huy Truong Duc,16/05/2000,Nam,9171891
2,19150002,Vo Ho Thanh Duy,20/11/2000,Nam,2307147
3,19150003,Le Thi Thuy Giang,29/04/2000,Nu,3561181
4,19150004,Huynh Gia Han,05/07/2000,Nam,1237672
5,19150005,Nguyen Thi Ngoc Han,08/10/2000,Nam,1912271
6,19150006,Ngo Quoc Hieu,21/08/2000,Nu,9568514
7,19150007,Tran Minh Hoang,17/12/2000,Nam,5673076
8,19150008,Nguyen Thi My Hong,24/01/2000,Nam,2818979
9,19150009,Truong Nguyen Ngoc Hue,29/08/2000,Nu,4581835
10,19150010,Van Ngoc Khai,30/04/2000,Nam,4514975
11,19150011,Vo Phi Long,19/09/2000,Nam,9413243
12,19150012,Nguyen Viet Luan,15/04/2000,Nu,7760233
13,19150013,Khuu To Nga,11/12/2000,Nam,3404299
14,19150014,Nguyen Luu Bich Ngan,14/09/2000,Nam,8019733
15,19150015,Truong Thanh Ngan,05/11/2000,Nu,7178602
16,19150016,Vo Thanh Ngan,21/08/2000,Nam,3367349
17,19150017,Vo Thi Hong Nguyen,24/08/2000,Nam,7644918
18,19150018,Nguyen Quynh Nhu,30/11/2000,Nu,1004162
19,19150019,Phan Thi Hoang Oanh,07/05/2000,Nam,3375481
20,19150020,Bui Lieu Mai Phuong,16/04/2000,Nam,6643584
21,19150021,Pham Le Anh Quan,27/01/2000,Nu,7487098
22,19150022,Nguyen Ngoc Nhu Quynh,16/11/2000,Nam,2070463
23,19150023,Dinh Van Thanh,24/04/2000,Nam,3982751
24,19150024,Le Hoang Nhu Thao,28/05/2000,Nu,1451386
25,19150025,Nguyen Thi Phuong Thi,26/08/2000,Nam,8112057
26,19150026,Mai Huynh Chi Thong,25/10/2000,Nam,9445872
27,19150027,Dang Pham Anh Thu,06/10/2000,Nu,3698812
28,19150028,Ngo Thien Thu,21/03/2000,Nam,1896238
29,19150029,Nguyen Chi Hoa Thuan,05/04/2000,Nam,7036457
30,19150030,Cao Hoang Khanh Tran,03/01/2000,Nu,3928925
