No,ID,Name,Birth,Sex,IDSocial
1,20170001,Dinh Hoai Phuc,26/5/2002,Nam,4945850
2,20170002,Nguyen Hanh Phuc,4/2/2002,Nam,3944792
3,20170003,Nguyen Kim Phuc,8/4/2002,Nu,2355896
4,20170004,Nguyen Vuong Hoang Phuc,7/2/2002,Nam,6636008
5,20170005,Vo Nguyen Huu Phuoc,10/4/2002,Nam,2891017
6,20170006,Cao Xuan Hong Phuong,10/5/2002,Nu,4765280
7,20170007,Dang Thi Hoang Phuong,24/9/2002,Nam,4770602
8,20170008,Nguyen Hoang Phuong,17/11/2002,Nam,6354966
9,20170009,Nguyen Nam Phuong,8/11/2002,Nu,1479640
10,20170010,Tran Thi Thu Phuong,1/9/2002,Nam,7280101
11,20170011,Bui Dinh Minh Quan,12/7/2002,Nam,7043774
12,20170012,Nguyen Hoang Quan,5/2/2002,Nu,7601726
13,20170013,Nguyen Minh Quan,17/1/2002,Nam,2013507
14,20170014,Tran Quan,7/12/2002,Nam,1740123
15,20170015,Vo Minh Quan,4/10/2002,Nu,9742689
16,20170016,Huynh Nhat Quang,6/3/2002,Nam,9365492
17,20170017,Vo Phan Thi To Quyen,2/1/2002,Nam,7602135
18,20170018,Ho Thi Nhu Quynh,16/7/2002,Nu,3959861
19,20170019,Bui Huynh Phuoc Sang,19/12/2002,Nam,5450677
20,20170020,Tran Ngoc Son,21/2/2002,Nam,3762283
21,20170021,Tran Thanh Tam,2/1/2002,Nu,6254554
22,20170022,Nguyen Le Thanh Thang,6/8/2002,Nam,6836539
23,20170023,Nguyen Tuan Thanh,27/4/2002,Nam,8711009
24,20170024,Nguyen Ngoc Thanh Thao,19/1/2002,Nu,8746546
25,20170025,Dang Ngoc Thi,23/1/2002,Nam,6758165
26,20170026,Ngo Ngoc Linh Thi,1/5/2002,Nam,3521718
27,20170027,Nguyen Thi Cam Thi,15/7/2002,Nu,8094019
28,20170028,Tran Duc Thien,15/11/2002,Nam,8726478
29,20170029,Tran Minh Thien,29/5/2002,Nam,8868992
30,20170030,Lai Thi Anh Thu,22/9/2002,Nu,3141619
