No,ID,Name,Birth,Sex,IDSocial
1,20150001,Tran Ngoc Anh Thu,25/6/2002,Nam,7790911
2,20150002,Nguyen Thi Cam Tien,6/4/2002,Nam,1950289
3,20150003,Tran Thuy Tien,23/2/2002,Nu,1772829
4,20150004,Tran Que Tram,25/4/2002,Nam,1276710
5,20150005,Nguyen Thi Tuyet Tran,29/10/2002,Nam,6712140
6,20150006,Bui Thi Le Trang,25/8/2002,Nu,3025703
7,20150007,Pham Thi Phuong Trang,24/1/2002,Nam,5564892
8,20150008,Pham Doan Minh Tri,6/8/2002,Nam,9627640
9,20150009,Le Pham Minh Triet,6/11/2002,Nu,8370511
10,20150010,Kieu Phuong Tu,6/7/2002,Nam,9224046
11,20150011,Dang Hoang Minh Tuan,7/3/2002,Nam,5809439
12,20150012,Nguyen Quoc Tuan,6/4/2002,Nu,3607677
13,20150013,Nguyen Ngoc Khanh Tuong,13/8/2002,Nam,8992320
14,20150014,Thai Thi Huynh Tuyen,2/12/2002,Nam,2750422
15,20150015,Lam My Uyen,18/4/2002,Nu,2379759
16,20150016,Ngo Thi Uyen,27/3/2002,Nam,7871205
17,20150017,Le Khanh Vinh,7/2/2002,Nam,7430609
18,20150018,Thai Minh Vu,3/6/2002,Nu,9089195
19,20150019,Doan Trieu Vy,16/5/2002,Nam,5410090
20,20150020,Huynh Thuy Vy,30/7/2002,Nam,6178796
21,20150021,Le Yen Vy,1/12/2002,Nu,1052443
22,20150022,Luong Cam Vy,25/8/2002,Nam,2652547
23,20150023,Nguyen Pham Tuong Vy,13/8/2002,Nam,7262739
24,20150024,Nguyen Pham Tuong Vy,25/2/2002,Nu,7510026
25,20150025,Pham Ngoc Thuy Vy,21/4/2002,Nam,3537269
26,20150026,Tran Thanh Vy,2/7/2002,Nam,4055975
27,20150027,Hua Kim Yen,1/8/2002,Nu,7060410
28,20150028,Nguyen Quynh Anh,1/5/2002,Nam,1169885
29,20150029,Nguyen Thi Kim Anh,1/9/2002,Nam,3008957
30,20150030,Mai Duc Canh,1/3/2002,Nu,8503925
