ID,Name,Birth,Sex,Idsocial
17120031,Bach Thanh Chien,03/03/1999,Nam,4262939
17120032,Hoang Khuy,20/02/1999,Nu,6413589
17120033,Huynh Hoang,18/07/1999,Nam ,9116416
17120034,Hoang Thu tu,12/05/1999,Nu,4554334
17120035,Tu Huu Tinh,02/08/1999,Nam,3777091
17120036,Tinh Thin,05/05/1999,Nu,7010233
17120037,Hoang Ha,10/01/1999,Nam,8968541
17120038,Buong Tha ,01/02/1999,Nu,5671417
17120039,Tha Thu,14/05/1999,Nam,2972123
17120040,Gu Chao,03/05/1999,Nu,2830799
17120041,Giang Ha,29/12/1999,Nam ,7683944
17120042,Son Dia,02/01/1999,Nu,6210361
17120043,Dia Chan,15/02/1999,Nam,7481026
17120044,Khinh Than,14/10/1999,Nu,2787334
17120045,Khai Hoang,27/01/1999,Nam,7243359
17120046,Chung Ta,05/05/1999,Nu,4407265
17120047,Co Phai ,05/06/1999,Nam,1780947
17120048,La Nhung,05/12/1999,Nu,5284243
17120049,Con Nguoi,19/08/1999,Nam ,2694950
17120050,Ly Tri,25/12/1999,Nu,3861149
17120051,Quyet Moi ,06/02/1999,Nam,9975960
17120052,Van Vuong,10/11/1999,Nu,1724856
17120053,Suy Tnh,28/11/1999,Nam,2134648
17120054,Can Than,05/05/1999,Nu,4698440
17120055,Thoi Gian,05/04/1999,Nam,9026065
17120056,Dai Truong,01/12/1999,Nu,9909350
17120057,Hoc Gia,15/08/1999,Nam ,6998057
17120058,Gieo Rat,06/10/1999,Nu,2543023
17120059,Quan Diem,26/05/1999,Nam,7309834
17120060,Thong Nhat,26/03/1999,Nu,5751063
18110001,Nguyen Hoang Gia Linh,09/08/2000,Nam,7239651
18110004,Nguyen Thi Truc Linh,12/07/2000,Nam,4339550
18110007,Tran Quang Linh,11/07/2000,Nu,5598758
18110010,Nguyen Huu Loc,23/05/2000,Nam,2587232
18110013,Nguyen Cam Ly,08/02/2000,Nam,5454686
18110016,Nguyen Quang Minh,27/05/2000,Nu,4660416
18110019,Ta Duong Anh Minh,13/11/2000,Nam,2499353
18110022,Ngo Quynh My,11/01/2000,Nam,6928825
18110025,Nguyen Mai Nhat My,02/07/2000,Nu,4935881
18110028,Tran Thi Truc My,21/07/2000,Nam,4886718
18110031,Dang Hoang Nam,14/01/2000,Nam,9063093
18110034,Ly Kim Ngan,07/11/2000,Nu,5148855
18110037,Nguyen Huynh Kim Ngan,15/05/2000,Nam,7525081
18110040,Tran Vu Kim Ngan,18/12/2000,Nam,3364640
18110043,Luong Ngoc Nghi,23/04/2000,Nu,9165601
18110046,Nguyen Phuong Nghi,18/02/2000,Nam,7034521
18110049,Tran Phuong Nghi,28/02/2000,Nam,6376942
18110052,Truong Tu Nghi,02/04/2000,Nu,8107546
18110055,Tran Le Thanh Ngoc,16/07/2000,Nam,9538736
18110058,Do Ngoc Phuong Nhi,08/01/2000,Nam,4704195
18110061,Nguyen Ngoc Nhu,04/08/2000,Nu,9875786
18110064,Tran Quynh Nhu,09/03/2000,Nam,9860002
18110067,Van Cam Nhung,16/10/2000,Nam,1216374
18110070,Ha Hoang Oanh,12/07/2000,Nu,1315471
18110073,Bui Tan Phat,04/01/2000,Nam,7419309
18110076,Nguyen Tan Phat,30/05/2000,Nam,6192477
18110079,Quach Hong Phat,05/02/2000,Nu,2978609
18110082,Huynh Yen Phi,27/04/2000,Nam,7099102
18110085,Nguyen Dinh Phi,09/08/2000,Nam,6292278
18110088,Lam Dinh Gia Phu,07/05/2000,Nu,2141377
19150001,Pham Huy Truong Duc,16/05/2000,Nam,9171891
19150002,Vo Ho Thanh Duy,20/11/2000,Nam,2307147
19150003,Le Thi Thuy Giang,29/04/2000,Nu,3561181
19150004,Huynh Gia Han,05/07/2000,Nam,1237672
19150005,Nguyen Thi Ngoc Han,08/10/2000,Nam,1912271
19150006,Ngo Quoc Hieu,21/08/2000,Nu,9568514
19150007,Tran Minh Hoang,17/12/2000,Nam,5673076
19150008,Nguyen Thi My Hong,24/01/2000,Nam,2818979
19150009,Truong Nguyen Ngoc Hue,29/08/2000,Nu,4581835
19150010,Van Ngoc Khai,30/04/2000,Nam,4514975
19150011,Vo Phi Long,19/09/2000,Nam,9413243
19150012,Nguyen Viet Luan,15/04/2000,Nu,7760233
19150013,Khuu To Nga,11/12/2000,Nam,3404299
19150014,Nguyen Luu Bich Ngan,14/09/2000,Nam,8019733
19150015,Truong Thanh Ngan,05/11/2000,Nu,7178602
19150016,Vo Thanh Ngan,21/08/2000,Nam,3367349
19150017,Vo Thi Hong Nguyen,24/08/2000,Nam,7644918
19150018,Nguyen Quynh Nhu,30/11/2000,Nu,1004162
19150019,Phan Thi Hoang Oanh,07/05/2000,Nam,3375481
19150020,Bui Lieu Mai Phuong,16/04/2000,Nam,6643584
19150021,Pham Le Anh Quan,27/01/2000,Nu,7487098
19150022,Nguyen Ngoc Nhu Quynh,16/11/2000,Nam,2070463
19150023,Dinh Van Thanh,24/04/2000,Nam,3982751
19150024,Le Hoang Nhu Thao,28/05/2000,Nu,1451386
19150025,Nguyen Thi Phuong Thi,26/08/2000,Nam,8112057
19150026,Mai Huynh Chi Thong,25/10/2000,Nam,9445872
19150027,Dang Pham Anh Thu,06/10/2000,Nu,3698812
19150028,Ngo Thien Thu,21/03/2000,Nam,1896238
19150029,Nguyen Chi Hoa Thuan,05/04/2000,Nam,7036457
19150030,Cao Hoang Khanh Tran,03/01/2000,Nu,3928925
19110001,Nguyen Thi Thu Trang,10/11/2000,Nam,4863031
19110002,Le Tran Thanh Truc,03/07/2000,Nam,1132433
19110003,Bui Trinh Trung,24/09/2000,Nu,6435089
19110004,Tran Anh Tuan,25/02/2000,Nam,2176236
19110005,Ho Ngoc Tuyen,22/07/2000,Nam,5046765
19110006,Nguyen Phuong Uyen,29/11/2000,Nu,3882790
19110007,Nguyen Vo Thao Vy,14/06/2000,Nam,3898013
19110008,Phan Tran Nhat Vy,10/04/2000,Nam,1030755
19110009,Nguyen Ngoc Xuyen,24/02/2000,Nu,3505346
19110010,Luu Huu Phuoc,19/05/2000,Nam,1982911
19110011,Le Quoc An,17/02/2000,Nam,5512644
19110012,Nguyen Tran Thien An,11/03/2000,Nu,8611497
19110013,Tran Vu Hong An,21/11/2000,Nam,2698915
19110014,Bui Thi Ngoc Anh,11/10/2000,Nam,6559168
19110015,Huynh Ngoc Que Anh,01/03/2000,Nu,3402810
19110016,Nguyen Phuc Tai Anh,26/03/2000,Nam,3101584
19110017,Nguyen Quynh Anh,10/04/2000,Nam,1493118
19110018,Pham Thi Duy Anh,02/01/2000,Nu,6894182
19110019,Pham Thi Phuong Anh,20/12/2000,Nam,2887511
19110020,Pham Thi Trang Anh,06/05/2000,Nam,5206453
19110021,Tran Do Van Anh,12/05/2000,Nu,1441073
19110022,Tran Thi Van Anh,03/11/2000,Nam,2442154
19110023,Vo Tung Anh,15/01/2000,Nam,4155746
19110024,Vu Thi Tu Anh,15/07/2000,Nu,9218462
19110025,Do Thi Ngoc Anh,07/09/2000,Nam,3491923
19110026,Nguyen Thai Bao,29/12/2000,Nam,2652417
19110027,Tran Duc Hoang Bao,09/08/2000,Nu,3313348
19110028,Le Thi Thanh Binh,22/02/2000,Nam,3793637
19110029,Nguyen Ngoc Thanh Binh,05/03/2000,Nam,9740891
19110030,Pham Nhu Binh,24/04/2000,Nu,7697471
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
