STT,MSSV,TEN,LOP,DIEM GIUA KI,DIEM CUOI KI,DIEM KHAC,TONG KET
1,20120031,Nguyen Tien Dat,20CTT2,6,4,5,4.7
2,20120032,Tran Nguyen Thanh Dat,20CTT2,10,8,3,8.1
3,20120033,Tran Nguyen Minh Dong,20CTT2,7,8,4,7.3
4,20120034,Ho Thi Kim Dung,20CTT2,4,6,4,5.2
5,20120035,Le Thi Thuy Duong,20CTT2,4,5,8,5
6,20120036,Mai Quoc Duy,20CTT2,7,3,5,4.4
7,20120037,Nguyen Thi Hong Gam,20CTT2,3,7,8,5.9
8,20120038,Nguyen Quynh Giang,20CTT2,10,4,8,6.2
9,20120039,Nguyen Thi Thu Ha,20CTT2,6,10,4,8.2
10,20120040,Tran My Han,20CTT2,4,8,7,6.7
11,20120041,Le Ngoc Thanh Hien,20CTT2,4,5,9,5.1
12,20120042,Le Viet Hien,20CTT2,10,3,7,5.5
13,20120043,Vo Minh Hieu,20CTT2,8,4,7,5.5
14,20120044,Phan My Hue,20CTT2,5,8,5,6.8
15,20120045,Nguyen Thi Kim Huong,20CTT2,9,5,8,6.5
16,20120046,Nguyen Le Hoang Huy,20CTT2,10,3,9,5.7
17,20120047,Tang Giac Huy,20CTT2,9,7,6,7.5
18,20120048,Dao Thi Huyen,20CTT2,10,3,5,5.3
19,20120049,Huynh Tan Thanh Kha,20CTT2,8,4,6,5.4
20,20120050,Tran Van Khai,20CTT2,8,9,8,8.6
21,20120051,Truong Vi Khang,20CTT2,6,6,8,6.2
22,20120052,Dang Dang Khoa,20CTT2,8,5,7,6.1
23,20120053,Nguyen Tran Nhac Khoa,20CTT2,5,6,5,5.6
24,20120054,Ho Le Minh Khue,20CTT2,6,6,9,6.3
25,20120055,Pham Thi Thuy Kieu,20CTT2,7,6,4,6.1
26,20120056,Pham Tran Thien Kim,20CTT2,7,6,6,6.3
27,20120057,Le Vinh Lam,20CTT2,5,4,9,4.8
28,20120058,Nguy Ngoc Hoang Lan,20CTT2,6,10,3,8.1
29,20120059,Dang Thi Yen Linh,20CTT2,8,6,4,6.4
30,20120060,Nguyen Doan Nhu Linh,20CTT2,8,10,7,9.1
31,20170001,Dinh Hoai Phuc,20HOH1,4,9,6,7.2
32,20170002,Nguyen Hanh Phuc,20HOH1,4,3,7,3.7
33,20170003,Nguyen Kim Phuc,20HOH1,3,8,7,6.4
34,20170004,Nguyen Vuong Hoang Phuc,20HOH1,6,8,6,7.2
35,20170005,Vo Nguyen Huu Phuoc,20HOH1,10,6,3,6.9
36,20170006,Cao Xuan Hong Phuong,20HOH1,6,6,8,6.2
37,20170007,Dang Thi Hoang Phuong,20HOH1,6,5,10,5.8
38,20170008,Nguyen Hoang Phuong,20HOH1,4,8,3,6.3
39,20170009,Nguyen Nam Phuong,20HOH1,3,3,6,3.3
40,20170010,Tran Thi Thu Phuong,20HOH1,7,8,7,7.6
41,20170011,Bui Dinh Minh Quan,20HOH1,9,6,8,7.1
42,20170012,Nguyen Hoang Quan,20HOH1,3,6,9,5.4
43,20170013,Nguyen Minh Quan,20HOH1,6,8,3,6.9
44,20170014,Tran Quan,20HOH1,10,7,5,7.7
45,20170015,Vo Minh Quan,20HOH1,5,8,6,6.9
46,20170016,Huynh Nhat Quang,20HOH1,10,7,4,7.6
47,20170017,Vo Phan Thi To Quyen,20HOH1,8,9,8,8.6
48,20170018,Ho Thi Nhu Quynh,20HOH1,8,7,5,7.1
