ID,Name,Birth,Sex,IDSocial
20120016,Nguyen Thanh Giau,16/04/2000,Nam,5993902
20120017,Doan Huu Lam Ha,15/08/2000,Nam,6319800
20120018,Pham Ngoc Ngan Ha,11/04/2000,Nu,9148289
20120019,Tran Le Ngoc Ha,05/10/2000,Nam,3741369
20120020,Huynh Thi Hai,20/09/2000,Nam,5781906
20120021,Truong Van Thanh Hai,29/01/2000,Nu,8834785
20120022,Co Ngoc Han,16/01/2000,Nam,9726491
20120023,Ho Hoai Han,05/10/2000,Nam,2799177
20120024,Nguyen Thi Ngoc Han,07/12/2000,Nu,1843542
20120025,Dao Ngoc Hang,27/12/2000,Nam,7787337
20120026,Huynh Hong Hanh,15/01/2000,Nam,5918614
20120027,Pham Thi Minh Hanh,22/09/2000,Nu,8767599
20120028,Nguyen Ngoc Thanh Hien,13/09/2000,Nam,3612924
20120029,Nguyen Thi Thuy Hien,30/04/2000,Nam,1151250
20120030,Hoa Truong Minh Hieu,14/08/2000,Nu,8017791
18150020,Nguyen Tien Dat,08/05/2000,Nam,5436315
18150022,Tran Nguyen Thanh Dat,21/05/2000,Nam,6583531
18150024,Tran Nguyen Minh Dong,05/11/2000,Nu,7892886
18150026,Ho Thi Kim Dung,23/09/2000,Nam,4200589
18150028,Le Thi Thuy Duong,04/01/2000,Nam,1880769
18150030,Mai Quoc Duy,14/10/2000,Nu,7128167
18150032,Nguyen Thi Hong Gam,23/07/2000,Nam,7609730
18150034,Nguyen Quynh Giang,23/05/2000,Nam,4662208
18150036,Nguyen Thi Thu Ha,06/12/2000,Nu,8649955
18150038,Tran My Han,12/03/2000,Nam,4240891
18150040,Le Ngoc Thanh Hien,30/08/2000,Nam,6325659
18150042,Le Viet Hien,01/06/2000,Nu,2897949
18150044,Vo Minh Hieu,28/09/2000,Nam,5000730
18150046,Phan My Hue,28/07/2000,Nam,1665888
18150048,Nguyen Thi Kim Huong,26/12/2000,Nu,3058472
18150050,Nguyen Le Hoang Huy,11/11/2000,Nam,6868950
18150052,Tang Giac Huy,23/08/2000,Nam,5794959
18150054,Dao Thi Huyen,25/10/2000,Nu,2694830
18150056,Huynh Tan Thanh Kha,05/10/2000,Nam,3310983
18150058,Tran Van Khai,04/09/2000,Nam,3561838
18150060,Truong Vi Khang,30/10/2000,Nu,3796985
18150062,Dang Dang Khoa,17/04/2000,Nam,5539753
18150064,Nguyen Tran Nhac Khoa,18/03/2000,Nam,3300942
18150066,Ho Le Minh Khue,24/12/2000,Nu,6412820
18150068,Pham Thi Thuy Kieu,01/01/2000,Nam,4706005
18150070,Pham Tran Thien Kim,06/02/2000,Nam,3878874
18150072,Le Vinh Lam,17/04/2000,Nu,6731505
18150074,Nguy Ngoc Hoang Lan,15/08/2000,Nam,1749892
18150076,Dang Thi Yen Linh,29/05/2000,Nam,6837692
18150078,Nguyen Doan Nhu Linh,30/06/2000,Nu,4504613
19170020,Nguyen Thi Thuy Duong,06/05/2000,Nam,4409634
19170021,Phan Thi Ngoc Duyen,24/12/2000,Nam,8251799
19170022,Bui Ngoc Cam Giang,22/05/2000,Nu,6313984
19170023,Nguyen Huu Tuan Hiep,12/06/2000,Nam,8290972
19170024,Tran Thi Hoai My,06/09/2000,Nam,1913528
19170025,Dang Gia Huong,04/03/2000,Nu,5462502
19170026,Le Thai Phuong Khanh,06/12/2000,Nam,9810384
19170027,Phan Dang Khoi,16/04/2000,Nam,6252913
19170028,Nguyen Trong Khuong,27/11/2000,Nu,3516018
19170029,Do Thi Phuong Linh,10/09/2000,Nam,4750001
19170030,Le Hoang Minh,07/12/2000,Nam,7314371
19170031,Duong My Mui,24/05/2000,Nu,8229894
19170032,Ho Thi My My,03/09/2000,Nam,9788567
19170033,Nguyen Thi Thien Nga,25/12/2000,Nam,7673306
19170034,Lai Truc Phuong,22/09/2000,Nu,1955086
19170035,Le Nguyen Cuc Phuong,06/12/2000,Nam,3781196
19170036,Nguyen Thien Quang,16/05/2000,Nam,6666611
19170037,Tran Tu Quyen,18/09/2000,Nu,6173242
19170038,Nguyen Nhu Quynh,26/09/2000,Nam,5452463
19170039,Lam Thi Thu Thao,11/12/2000,Nam,8055699
19170040,Ho Ngoc Thao Tien,05/04/2000,Nu,6773088
19170041,Nguyen Huynh Thuy Tien,07/09/2000,Nam,2740475
19170042,Pham Thanh Toan,15/06/2000,Nam,2413356
19170043,Vo Hoai Nhu Truc,18/10/2000,Nu,2243065
19170044,Le Ngoc Minh Tuyen,25/11/2000,Nam,7670792
19170045,Truong Nhat Uyen,14/12/2000,Nam,7078102
19170046,Ngo Minh Chau,29/03/2000,Nu,7805730
19170047,Duong Tan Dat,15/11/2000,Nam,1345252
19170048,Tran Thi My Dieu,10/01/2000,Nam,5379104
19170049,Do Huy Du,10/10/2000,Nu,3877441
