ID,Name,Birth,Sex,IDSocial
20120001,Tran Minh Canh,01/10/2000,Nam,2923044
20120002,Le Khanh Chau,11/11/2000,Nam,5331608
20120003,Vo Ngoc Quynh Chi,27/10/2000,Nu,4236960
20120004,Nguyen Tran Minh Chi,11/10/2000,Nam,4689467
20120005,Chau Quoc Cuong,09/04/2000,Nam,8628241
20120006,Nguyen Hoang Ba Dang,28/01/2000,Nu,7280408
20120007,Bui Thanh Diem,30/01/2000,Nam,8679983
20120008,Tran Thi Ngoc Dieu,26/04/2000,Nam,9955811
20120009,Nguyen Thuy Dinh,22/01/2000,Nu,6184913
20120010,Huynh Tan Du,04/05/2000,Nam,6569747
20120011,Thai Quoc Dung,08/07/2000,Nam,7850715
20120012,Le Thi Thuy Duong,08/11/2000,Nu,6091808
20120013,Nguyen Thi Thuy Duong,07/09/2000,Nam,7343282
20120014,Nguyen Quoc Duy,07/10/2000,Nam,9745941
20120015,Nguyen Pham Truong Giang,22/03/2000,Nu,6149913
18120016,Ly Xuan Anh,08/08/2000,Nam,6577639
18120017,Ngo Thi Kim Anh,07/07/2000,Nam,9788767
18120018,Ngo Thi Phuong Anh,22/09/2000,Nu,3352222
18120019,Nguyen Minh Tram Anh,11/03/2000,Nam,8591882
18120020,Pham My Anh,15/12/2000,Nam,6021680
18120021,Tran Thi Minh Anh,10/02/2000,Nu,6570367
18120022,Tran Ngoc Bac,06/04/2000,Nam,8647419
18120023,Vu Van Cang,19/01/2000,Nam,5607566
18120024,Doan Le Bao Chau,27/03/2000,Nu,6058715
18120025,Ha Vinh Kim Chau,11/08/2000,Nam,1579413
18120026,Doan Ngoc Uyen Chi,28/10/2000,Nam,2273272
18120027,Nguyen Ngoc Phuong Chi,26/05/2000,Nu,5617746
18120028,Phan Huu Chuc,03/12/2000,Nam,4325448
18120029,Nguyen Duy Anh Chuong,11/03/2000,Nam,2378495
18120030,Dang Quoc Cuong,12/11/2000,Nu,9983282
19120255,Bui Thi Le Trang,22/08/2000,Nu,3025703
19120256,Pham Thi Phuong Trang,11/06/2000,Nam,5564892
19120257,Pham Doan Minh Tri,07/02/2000,Nam,9627640
19120258,Le Pham Minh Triet,21/01/2000,Nu,8370511
19120259,Kieu Phuong Tu,02/03/2000,Nam,9224046
19150001,Pham Huy Truong Duc,16/05/2000,Nam,9171891
19150002,Vo Ho Thanh Duy,20/11/2000,Nam,2307147
19150003,Le Thi Thuy Giang,29/04/2000,Nu,3561181
19150004,Huynh Gia Han,05/07/2000,Nam,1237672
19150005,Nguyen Thi Ngoc Han,08/10/2000,Nam,1912271
19150006,Ngo Quoc Hieu,21/08/2000,Nu,9568514
19150007,Tran Minh Hoang,17/12/2000,Nam,5673076
19150008,Nguyen Thi My Hong,24/01/2000,Nam,2818979
19150009,Truong Nguyen Ngoc Hue,29/08/2000,Nu,4581835
19150010,Van Ngoc Khai,30/04/2000,Nam,4514975
19150011,Vo Phi Long,19/09/2000,Nam,9413243
19150012,Nguyen Viet Luan,15/04/2000,Nu,7760233
19150013,Khuu To Nga,11/12/2000,Nam,3404299
19150014,Nguyen Luu Bich Ngan,14/09/2000,Nam,8019733
19150015,Truong Thanh Ngan,05/11/2000,Nu,7178602
19150016,Vo Thanh Ngan,21/08/2000,Nam,3367349
19150017,Vo Thi Hong Nguyen,24/08/2000,Nam,7644918
19150018,Nguyen Quynh Nhu,30/11/2000,Nu,1004162
19150019,Phan Thi Hoang Oanh,07/05/2000,Nam,3375481
19150020,Bui Lieu Mai Phuong,16/04/2000,Nam,6643584
19150021,Pham Le Anh Quan,27/01/2000,Nu,7487098
19150022,Nguyen Ngoc Nhu Quynh,16/11/2000,Nam,2070463
19150023,Dinh Van Thanh,24/04/2000,Nam,3982751
19150024,Le Hoang Nhu Thao,28/05/2000,Nu,1451386
19150025,Nguyen Thi Phuong Thi,26/08/2000,Nam,8112057
19150026,Mai Huynh Chi Thong,25/10/2000,Nam,9445872
19150027,Dang Pham Anh Thu,06/10/2000,Nu,3698812
19150028,Ngo Thien Thu,21/03/2000,Nam,1896238
19150029,Nguyen Chi Hoa Thuan,05/04/2000,Nam,7036457
19150030,Cao Hoang Khanh Tran,03/01/2000,Nu,3928925
