ID,Name,Birth,Sex,IDSocial
20120001,Tran Minh Canh,01/10/2000,Nam,2923044
20120002,Le Khanh Chau,11/11/2000,Nam,5331608
20120003,Vo Ngoc Quynh Chi,27/10/2000,Nu,4236960
20120004,Nguyen Tran Minh Chi,11/10/2000,Nam,4689467
20120005,Chau Quoc Cuong,09/04/2000,Nam,8628241
20120006,Nguyen Hoang Ba Dang,28/01/2000,Nu,7280408
20120007,Bui Thanh Diem,30/01/2000,Nam,8679983
20120008,Tran Thi Ngoc Dieu,26/04/2000,Nam,9955811
20120009,Nguyen Thuy Dinh,22/01/2000,Nu,6184913
20120010,Huynh Tan Du,04/05/2000,Nam,6569747
20120011,Thai Quoc Dung,08/07/2000,Nam,7850715
20120012,Le Thi Thuy Duong,08/11/2000,Nu,6091808
20120013,Nguyen Thi Thuy Duong,07/09/2000,Nam,7343282
20120014,Nguyen Quoc Duy,07/10/2000,Nam,9745941
20120015,Nguyen Pham Truong Giang,22/03/2000,Nu,6149913
20120016,Nguyen Thanh Giau,16/04/2000,Nam,5993902
20120017,Doan Huu Lam Ha,15/08/2000,Nam,6319800
20120018,Pham Ngoc Ngan Ha,11/04/2000,Nu,9148289
20120019,Tran Le Ngoc Ha,05/10/2000,Nam,3741369
20120020,Huynh Thi Hai,20/09/2000,Nam,5781906
20120021,Truong Van Thanh Hai,29/01/2000,Nu,8834785
20120022,Co Ngoc Han,16/01/2000,Nam,9726491
20120023,Ho Hoai Han,05/10/2000,Nam,2799177
20120024,Nguyen Thi Ngoc Han,07/12/2000,Nu,1843542
20120025,Dao Ngoc Hang,27/12/2000,Nam,7787337
20120026,Huynh Hong Hanh,15/01/2000,Nam,5918614
20120027,Pham Thi Minh Hanh,22/09/2000,Nu,8767599
20120028,Nguyen Ngoc Thanh Hien,13/09/2000,Nam,3612924
20120029,Nguyen Thi Thuy Hien,30/04/2000,Nam,1151250
20120030,Hoa Truong Minh Hieu,14/08/2000,Nu,8017791
19120097,Tran Thanh Tam,17/10/2000,Nu,6254554
19120099,Nguyen Le Thanh Thang,28/10/2000,Nam,6836539
19120101,Nguyen Tuan Thanh,17/11/2000,Nam,8711009
19120103,Nguyen Ngoc Thanh Thao,04/06/2000,Nu,8746546
19120105,Dang Ngoc Thi,17/09/2000,Nam,6758165
19120107,Ngo Ngoc Linh Thi,14/06/2000,Nam,3521718
19120109,Nguyen Thi Cam Thi,06/08/2000,Nu,8094019
19120111,Tran Duc Thien,02/11/2000,Nam,8726478
19120113,Tran Minh Thien,05/07/2000,Nam,8868992
19120115,Lai Thi Anh Thu,06/01/2000,Nu,3141619
19120250,Tran Ngoc Anh Thu,27/07/2000,Nam,7790911
19120251,Nguyen Thi Cam Tien,02/06/2000,Nam,1950289
19120252,Tran Thuy Tien,14/03/2000,Nu,1772829
19120253,Tran Que Tram,30/11/2000,Nam,1276710
19120254,Nguyen Thi Tuyet Tran,03/06/2000,Nam,6712140
19120255,Bui Thi Le Trang,22/08/2000,Nu,3025703
19120256,Pham Thi Phuong Trang,11/06/2000,Nam,5564892
19120257,Pham Doan Minh Tri,07/02/2000,Nam,9627640
19120258,Le Pham Minh Triet,21/01/2000,Nu,8370511
19120259,Kieu Phuong Tu,02/03/2000,Nam,9224046
19120260,Dang Hoang Minh Tuan,04/03/2000,Nam,5809439
19120261,Nguyen Quoc Tuan,14/03/2000,Nu,3607677
19120262,Nguyen Ngoc Khanh Tuong,03/08/2000,Nam,8992320
19120263,Thai Thi Huynh Tuyen,07/04/2000,Nam,2750422
19120264,Lam My Uyen,18/05/2000,Nu,2379759
19120265,Ngo Thi Uyen,13/12/2000,Nam,7871205
19120266,Le Khanh Vinh,04/11/2000,Nam,7430609
19120267,Thai Minh Vu,02/01/2000,Nu,9089195
19120268,Doan Trieu Vy,05/12/2000,Nam,5410090
19120269,Huynh Thuy Vy,09/10/2000,Nam,6178796
19170020,Nguyen Thi Thuy Duong,06/05/2000,Nam,4409634
19170021,Phan Thi Ngoc Duyen,24/12/2000,Nam,8251799
19170022,Bui Ngoc Cam Giang,22/05/2000,Nu,6313984
19170023,Nguyen Huu Tuan Hiep,12/06/2000,Nam,8290972
19170024,Tran Thi Hoai My,06/09/2000,Nam,1913528
19170025,Dang Gia Huong,04/03/2000,Nu,5462502
