ID,NAME,DATE OF BIRTH,SEX,SOCIAL ID
20120031,Nguyen Tien Dat,27/11/2002,Nam,5436315
20120032,Tran Nguyen Thanh Dat,14/02/2002,Nam,6583531
20120033,Tran Nguyen Minh Dong,29/03/2002,Nu,7892886
20120034,Ho Thi Kim Dung,14/01/2002,Nam,4200589
20120035,Le Thi Thuy Duong,15/01/2002,Nam,1880769
20120036,Mai Quoc Duy,06/01/2002,Nu,7128167
20120037,Nguyen Thi Hong Gam,20/04/2002,Nam,7609730
20120038,Nguyen Quynh Giang,25/03/2002,Nam,4662208
20120039,Nguyen Thi Thu Ha,09/11/2002,Nu,8649955
20120040,Tran My Han,21/11/2002,Nam,4240891
20120041,Le Ngoc Thanh Hien,01/07/2002,Nam,6325659
20120042,Le Viet Hien,10/03/2002,Nu,2897949
20120043,Vo Minh Hieu,07/11/2002,Nam,5000730
20120044,Phan My Hue,21/11/2002,Nam,1665888
20120045,Nguyen Thi Kim Huong,22/12/2002,Nu,3058472
20120046,Nguyen Le Hoang Huy,01/12/2002,Nam,6868950
20120047,Tang Giac Huy,10/10/2002,Nam,5794959
20120048,Dao Thi Huyen,26/05/2002,Nu,2694830
20120049,Huynh Tan Thanh Kha,01/04/2002,Nam,3310983
20120050,Tran Van Khai,25/02/2002,Nam,3561838
20120051,Truong Vi Khang,29/08/2002,Nu,3796985
20120052,Dang Dang Khoa,07/10/2002,Nam,5539753
20120053,Nguyen Tran Nhac Khoa,28/08/2002,Nam,3300942
20120054,Ho Le Minh Khue,10/09/2002,Nu,6412820
20120055,Pham Thi Thuy Kieu,11/06/2002,Nam,4706005
20120056,Pham Tran Thien Kim,19/10/2002,Nam,3878874
20120057,Le Vinh Lam,20/07/2002,Nu,6731505
20120058,Nguy Ngoc Hoang Lan,25/02/2002,Nam,1749892
20120059,Dang Thi Yen Linh,25/12/2002,Nam,6837692
20120060,Nguyen Doan Nhu Linh,19/03/2002,Nu,4504613
20120061,Nguyen Hoang Gia Linh,15/01/2002,Nam,7239651
20120062,Nguyen Thi Truc Linh,17/07/2002,Nam,4339550
20120063,Tran Quang Linh,08/09/2002,Nu,5598758
