ID,NAME,DATE OF BIRTH,SEX,SOCIAL ID
20150001,Tran Ngoc Anh Thu,25/06/2002,Nam,7790911
20150002,Nguyen Thi Cam Tien,06/04/2002,Nam,1950289
20150003,Tran Thuy Tien,23/02/2002,Nu,1772829
20150004,Tran Que Tram,25/04/2002,Nam,1276710
20150005,Nguyen Thi Tuyet Tran,29/10/2002,Nam,6712140
20150006,Bui Thi Le Trang,25/08/2002,Nu,3025703
20150007,Pham Thi Phuong Trang,24/01/2002,Nam,5564892
20150008,Pham Doan Minh Tri,06/08/2002,Nam,9627640
20150009,Le Pham Minh Triet,06/11/2002,Nu,8370511
20150010,Kieu Phuong Tu,06/07/2002,Nam,9224046
20150011,Dang Hoang Minh Tuan,07/03/2002,Nam,5809439
20150012,Nguyen Quoc Tuan,06/04/2002,Nu,3607677
20150013,Nguyen Ngoc Khanh Tuong,13/08/2002,Nam,8992320
20150014,Thai Thi Huynh Tuyen,02/12/2002,Nam,2750422
20150015,Lam My Uyen,18/04/2002,Nu,2379759
20150016,Ngo Thi Uyen,27/03/2002,Nam,7871205
20150017,Le Khanh Vinh,07/02/2002,Nam,7430609
20150018,Thai Minh Vu,03/06/2002,Nu,9089195
20150019,Doan Trieu Vy,16/05/2002,Nam,5410090
20150020,Huynh Thuy Vy,30/07/2002,Nam,6178796
20150021,Le Yen Vy,01/12/2002,Nu,1052443
20150022,Luong Cam Vy,25/08/2002,Nam,2652547
20150023,Nguyen Pham Tuong Vy,13/08/2002,Nam,7262739
20150024,Nguyen Pham Tuong Vy,25/02/2002,Nu,7510026
20150025,Pham Ngoc Thuy Vy,21/04/2002,Nam,3537269
20150026,Tran Thanh Vy,02/07/2002,Nam,4055975
20150027,Hua Kim Yen,01/08/2002,Nu,7060410
20150028,Nguyen Quynh Anh,01/05/2002,Nam,1169885
20150029,Nguyen Thi Kim Anh,01/09/2002,Nam,3008957
20150030,Mai Duc Canh,01/03/2002,Nu,8503925
20150031,Nguyen Thi Thuy Duong,29/11/2002,Nam,4409634
20150032,Phan Thi Ngoc Duyen,20/03/2002,Nam,8251799
20150033,Bui Ngoc Cam Giang,10/08/2002,Nu,6313984
20150034,Nguyen Huu Tuan Hiep,30/09/2002,Nam,8290972
20150035,Tran Thi Hoai My,29/03/2002,Nam,1913528
20150036,Dang Gia Huong,13/10/2002,Nu,5462502
20150037,Le Thai Phuong Khanh,03/08/2002,Nam,9810384
20150038,Phan Dang Khoi,13/12/2002,Nam,6252913
20150039,Nguyen Trong Khuong,03/10/2002,Nu,3516018
20150040,Do Thi Phuong Linh,21/04/2002,Nam,4750001
20150041,Le Hoang Minh,19/07/2002,Nam,7314371
20150042,Duong My Mui,05/02/2002,Nu,8229894
20150043,Ho Thi My My,21/11/2002,Nam,9788567
20150044,Nguyen Thi Thien Nga,22/02/2002,Nam,7673306
20150045,Lai Truc Phuong,11/01/2002,Nu,1955086
