STT,MSSV,TEN,LOP,DIEM GIUA KI,DIEM CUOI KI,DIEM KHAC,TONG KET
1,17171717,Le Hoai Anh,17HOH1,5,5,6,5.1
2,17171718,Le Quynh Anh,17HOH1,6,6,6,6
3,17171719,Hoang Chi Vo,17HOH1,8,7,5,7.1
4,17171720,Nguyen Gia Bao,17HOH1,7,6,5,6.2
5,17171721,Nguyen Kim ,17HOH1,6,6,10,6.4
6,17171722,Nguyen Anh Bao,17HOH1,7,8,9,7.8
7,17171723,Tran Hoang Anh Khoa,17HOH1,5,10,10,8.5
8,17171724,Tran Hoang Khoi,17HOH1,8,9,9,8.7
9,17171725,Du Quang Luc,17HOH1,5,6,8,5.9
10,17171726,Nguyen Hung Luc,17HOH1,9,6,6,6.9
11,17171727,Nguyen Huu Minh,17HOH1,5,10,9,8.4
12,17171728,Nguyen Truong Thang,17HOH1,7,10,9,9
13,17171729,Dieu Ngoc,17HOH1,6,7,10,7
14,17171730,Truong Tieu Thanh,17HOH1,5,5,8,5.3
15,17171731,Duong Ngoc Phong,17HOH1,7,6,7,6.4
16,17171732,To Tran Thien Phuc,17HOH1,7,5,10,6.1
17,17171733,Nguy Anh Quan,17HOH1,10,9,6,9
18,17171734,Vo Thanh Thien,17HOH1,9,6,10,7.3
19,17171735,Nguyen Huynh Tram,17HOH1,7,10,7,8.8
20,17171736,Le Hoang Thien Y,17HOH1,9,5,9,6.6
21,17171737,Ly Tinh,17HOH1,6,5,10,5.8
22,17171738,Le Loc,17HOH1,10,9,5,8.9
23,17171739,Gigolo,17HOH1,8,8,9,8.1
24,17171740,Tyrant,17HOH1,9,8,5,8
25,17171741,Racist,17HOH1,9,6,6,6.9
26,17171742,Brotherhood,17HOH1,10,5,8,6.8
27,17171743,Robinhood,17HOH1,9,5,6,6.3
28,17171744,Captain Kirt,17HOH1,10,8,8,8.6
29,17171745,Di Van,17HOH1,7,5,10,6.1
30,17171746,Do Day,17HOH1,9,7,10,7.9
31,17150003,Bui  Tai,17SHH1,6,9,5,7.7
32,17150004,Co To Lam ,17SHH1,5,7,8,6.5
33,17150005,Khuyet Thinh,17SHH1,8,9,8,8.6
34,17150006,Thong Tai,17SHH1,8,7,9,7.5
35,17150007,Van Nam Giang Thi,17SHH1,8,9,8,8.6
36,17150008,Hao A Sinh,17SHH1,8,8,10,8.2
37,17150009,Huynh Ngoc Tram,17SHH1,9,7,8,7.7
38,17150010,Le Minh ,17SHH1,7,6,8,6.5
39,17150011,Le  Hoang Quan,17SHH1,9,6,5,6.8
40,17150012,Le Uyen Nhi,17SHH1,10,10,6,9.6
