STT,MSSV,TEN,LOP,DIEM GIUA KI,DIEM CUOI KI,DIEM KHAC,TONG KET
1,18120001,Nguyen Huu Khai Duy,18CTT1,5,6,6,5.7
2,18120002,Dam Huy Giau,18CTT1,6,8,5,7.1
3,18120003,Tang Nhat Hao,18CTT1,4,7,10,6.4
4,18120004,Nguyen Dieu Linh,18CTT1,5,7,8,6.5
5,18120005,Ngo Hong Phi Loan,18CTT1,6,7,5,6.5
6,18120006,Nguyen Ho Nam,18CTT1,9,5,9,6.6
7,18120007,Phan Nguyen Hoai Nam,18CTT1,8,6,5,6.5
8,18120008,Bo Khanh Ngoc,18CTT1,4,7,9,6.3
9,18120009,Nguyen Ba Thao Nguyen,18CTT1,6,10,4,8.2
10,18120010,Nguyen Nhat Yen Phuong,18CTT1,7,4,9,5.4
11,18120011,Tran Nguyen Tan,18CTT1,7,5,4,5.5
12,18120012,Nguyen Hoang Phuc Tien,18CTT1,7,7,7,7
13,18120013,Nguyen Le Phuong Trang,18CTT1,4,7,8,6.2
14,18120014,Pham Thi Kim Thanh,18CTT1,5,5,9,5.4
15,18120015,Pham Thi Bich Van,18CTT1,9,5,9,6.6
16,18120016,Ly Xuan Anh,18CTT1,4,9,5,7.1
17,18120017,Ngo Thi Kim Anh,18CTT1,8,4,8,5.6
18,18120018,Ngo Thi Phuong Anh,18CTT1,7,8,6,7.5
19,18120019,Nguyen Minh Tram Anh,18CTT1,9,5,10,6.7
20,18120020,Pham My Anh,18CTT1,6,7,4,6.4
21,18120021,Tran Thi Minh Anh,18CTT1,9,6,6,6.9
22,18120022,Tran Ngoc Bac,18CTT1,5,6,7,5.8
23,18120023,Vu Van Cang,18CTT1,4,7,5,5.9
24,18120024,Doan Le Bao Chau,18CTT1,7,8,4,7.3
25,18120025,Ha Vinh Kim Chau,18CTT1,8,10,8,9.2
26,18120026,Doan Ngoc Uyen Chi,18CTT1,6,6,10,6.4
27,18120027,Nguyen Ngoc Phuong Chi,18CTT1,6,10,4,8.2
28,18120028,Phan Huu Chuc,18CTT1,8,8,6,7.8
29,18120029,Nguyen Duy Anh Chuong,18CTT1,5,6,10,6.1
30,18120030,Dang Quoc Cuong,18CTT1,7,4,7,5.2
31,18120033,A Thai,18CTT2,6,9,5,7.7
32,18120034,Cao Hung,18CTT2,6,8,6,7.2
33,18120035,Cao Thai,18CTT2,4,4,4,4
34,18120036,Cortana,18CTT2,6,6,10,6.4
35,18120037,Co Vo ,18CTT2,4,4,6,4.2
36,18120038,Truong A,18CTT2,6,10,4,8.2
37,18120039,Eo Thi Xa,18CTT2,7,7,5,6.8
38,18120040,Hua Vo Thien,18CTT2,8,5,5,5.9
39,18120041,Han Lap,18CTT2,7,9,4,7.9
40,18120042,Huy Hoang,18CTT2,9,5,7,6.4
41,18120043,Ghe Sa,18CTT2,10,6,9,7.5
42,18120044,Khuong An An,18CTT2,4,6,9,5.7
43,18120045,Khuong Vong,18CTT2,9,5,10,6.7
44,18120046,Lam Bao Ngoc,18CTT2,4,6,7,5.5
45,18120047,Lam Van Thien,18CTT2,5,7,7,6.4
46,18120048,Long Tuoc,18CTT2,7,7,10,7.3
47,18120049,Luc Tram,18CTT2,4,7,5,5.9
48,18120050,Mieu A Cau,18CTT2,4,10,7,7.9
49,18120051,Nga Tam,18CTT2,8,8,10,8.2
50,18120052,Ngo Th?a An,18CTT2,5,9,8,7.7
51,18120053,Nguyen Hoa,18CTT2,6,6,6,6
52,18120054,Nguyen Thi A,18CTT2,7,5,9,6
53,18120055,Thien Sinh,18CTT2,5,5,8,5.3
54,18120056,Tran Binh An,18CTT2,7,10,8,8.9
55,18120057,Tran Vong Tinh,18CTT2,4,6,6,5.4
56,18120058,Truong Tieu Pham,18CTT2,5,9,5,7.4
57,18120059,Vuong Chi Hao,18CTT2,9,7,5,7.4
58,18120060,Vuong Thong Thien,18CTT2,6,10,7,8.5
59,18120061,Vuong Vong Thien,18CTT2,9,5,7,6.4
60,18120062,Vuong Trieu,18CTT2,5,7,4,6.1
61,18150020,Nguyen Tien Dat,18SHH1,7,9,10,8.5
62,18150022,Tran Nguyen Thanh Dat,18SHH1,9,7,5,7.4
63,18150024,Tran Nguyen Minh Dong,18SHH1,4,4,6,4.2
64,18150026,Ho Thi Kim Dung,18SHH1,8,9,10,8.8
65,18150028,Le Thi Thuy Duong,18SHH1,6,6,8,6.2
66,18150030,Mai Quoc Duy,18SHH1,5,4,4,4.3
67,18150032,Nguyen Thi Hong Gam,18SHH1,9,8,10,8.5
68,18150034,Nguyen Quynh Giang,18SHH1,7,6,4,6.1
69,18150036,Nguyen Thi Thu Ha,18SHH1,4,7,9,6.3
70,18150038,Tran My Han,18SHH1,10,5,8,6.8
71,18150040,Le Ngoc Thanh Hien,18SHH1,10,8,5,8.3
72,18150042,Le Viet Hien,18SHH1,8,6,9,6.9
73,18150044,Vo Minh Hieu,18SHH1,7,5,4,5.5
74,18150046,Phan My Hue,18SHH1,6,6,6,6
75,18150048,Nguyen Thi Kim Huong,18SHH1,7,4,6,5.1
76,18150050,Nguyen Le Hoang Huy,18SHH1,5,8,8,7.1
77,18150052,Tang Giac Huy,18SHH1,4,8,10,7
78,18150054,Dao Thi Huyen,18SHH1,8,7,10,7.6
79,18150056,Huynh Tan Thanh Kha,18SHH1,8,5,7,6.1
80,18150058,Tran Van Khai,18SHH1,7,5,4,5.5
81,18150060,Truong Vi Khang,18SHH1,10,4,7,6.1
82,18150062,Dang Dang Khoa,18SHH1,5,5,8,5.3
83,18150064,Nguyen Tran Nhac Khoa,18SHH1,7,7,5,6.8
84,18150066,Ho Le Minh Khue,18SHH1,9,6,8,7.1
85,18150068,Pham Thi Thuy Kieu,18SHH1,5,4,7,4.6
86,18150070,Pham Tran Thien Kim,18SHH1,9,8,5,8
87,18150072,Le Vinh Lam,18SHH1,4,7,7,6.1
88,18150074,Nguy Ngoc Hoang Lan,18SHH1,9,4,10,6.1
89,18150076,Dang Thi Yen Linh,18SHH1,5,4,9,4.8
90,18150078,Nguyen Doan Nhu Linh,18SHH1,6,9,4,7.6
