STT,MSSV,TEN,LOP,DIEM GIUA KI,DIEM CUOI KI,DIEM KHAC,TONG KET
1,18120001,Nguyen Huu Khai Duy,18CTT1,6,7,10,7
2,18120002,Dam Huy Giau,18CTT1,7,7,6,6.9
3,18120003,Tang Nhat Hao,18CTT1,8,8,6,7.8
4,18120004,Nguyen Dieu Linh,18CTT1,7,9,4,7.9
5,18120005,Ngo Hong Phi Loan,18CTT1,9,6,8,7.1
6,18120006,Nguyen Ho Nam,18CTT1,3,10,8,7.7
7,18120007,Phan Nguyen Hoai Nam,18CTT1,7,7,8,7.1
8,18120008,Bo Khanh Ngoc,18CTT1,4,7,3,5.7
9,18120009,Nguyen Ba Thao Nguyen,18CTT1,8,3,4,4.6
10,18120010,Nguyen Nhat Yen Phuong,18CTT1,5,4,4,4.3
11,18120011,Tran Nguyen Tan,18CTT1,8,10,5,8.9
12,18120012,Nguyen Hoang Phuc Tien,18CTT1,8,7,9,7.5
13,18120013,Nguyen Le Phuong Trang,18CTT1,8,7,9,7.5
14,18120014,Pham Thi Kim Thanh,18CTT1,8,10,7,9.1
15,18120015,Pham Thi Bich Van,18CTT1,10,4,10,6.4
16,18120016,Ly Xuan Anh,18CTT1,3,3,3,3
17,18120017,Ngo Thi Kim Anh,18CTT1,3,8,3,6
18,18120018,Ngo Thi Phuong Anh,18CTT1,7,6,7,6.4
19,18120019,Nguyen Minh Tram Anh,18CTT1,10,6,4,7
20,18120020,Pham My Anh,18CTT1,3,5,7,4.6
21,18120021,Tran Thi Minh Anh,18CTT1,10,9,10,9.4
22,18120022,Tran Ngoc Bac,18CTT1,10,10,3,9.3
23,18120023,Vu Van Cang,18CTT1,10,4,3,5.7
24,18120024,Doan Le Bao Chau,18CTT1,4,8,6,6.6
25,18120025,Ha Vinh Kim Chau,18CTT1,7,10,3,8.4
26,18120026,Doan Ngoc Uyen Chi,18CTT1,10,8,8,8.6
27,18120027,Nguyen Ngoc Phuong Chi,18CTT1,3,6,10,5.5
28,18120028,Phan Huu Chuc,18CTT1,8,5,7,6.1
