STT,MSSV,TEN,LOP,DIEM GIUA KI,DIEM CUOI KI,DIEM KHAC,TONG KET
1,20120001,Nguyen Huu Khai Duy,20CTT1,8,7,8,7.4
2,20120002,Dam Huy Giau,20CTT1,7,7,9,7.2
3,20120003,Tang Nhat Hao,20CTT1,7,7,7,7
4,20120004,Nguyen Dieu Linh,20CTT1,6,7,5,6.5
5,20120005,Ngo Hong Phi Loan,20CTT1,6,6,5,5.9
6,20120006,Nguyen Ho Nam,20CTT1,10,10,7,9.7
7,20120007,Phan Nguyen Hoai Nam,20CTT1,6,10,8,8.6
8,20120008,Bo Khanh Ngoc,20CTT1,10,7,5,7.7
9,20120009,Nguyen Ba Thao Nguyen,20CTT1,5,6,8,5.9
10,20120010,Nguyen Nhat Yen Phuong,20CTT1,9,7,6,7.5
11,20120011,Tran Nguyen Tan,20CTT1,9,7,8,7.7
12,20120012,Nguyen Hoang Phuc Tien,20CTT1,9,8,10,8.5
13,20120013,Nguyen Le Phuong Trang,20CTT1,5,9,9,7.8
14,20120014,Pham Thi Kim Thanh,20CTT1,9,5,10,6.7
15,20120015,Pham Thi Bich Van,20CTT1,5,7,9,6.6
16,20120016,Ly Xuan Anh,20CTT1,8,9,6,8.4
17,20120017,Ngo Thi Kim Anh,20CTT1,8,10,9,9.3
18,20120018,Ngo Thi Phuong Anh,20CTT1,6,5,7,5.5
19,20120019,Nguyen Minh Tram Anh,20CTT1,6,7,7,6.7
20,20120020,Pham My Anh,20CTT1,10,10,9,9.9
21,20120021,Tran Thi Minh Anh,20CTT1,6,8,9,7.5
22,20120022,Tran Ngoc Bac,20CTT1,9,7,9,7.8
23,20120023,Vu Van Cang,20CTT1,9,8,6,8.1
24,20120024,Doan Le Bao Chau,20CTT1,5,10,9,8.4
25,20120025,Ha Vinh Kim Chau,20CTT1,10,8,8,8.6
26,20120026,Doan Ngoc Uyen Chi,20CTT1,9,9,10,9.1
27,20120027,Nguyen Ngoc Phuong Chi,20CTT1,9,9,9,9
28,20120028,Phan Huu Chuc,20CTT1,9,10,9,9.6
29,20120029,Nguyen Duy Anh Chuong,20CTT1,5,7,10,6.7
30,20120030,Dang Quoc Cuong,20CTT1,8,9,6,8.4
31,20120031,Nguyen Tien Dat,20CTT2,6,8,5,7.1
32,20120032,Tran Nguyen Thanh Dat,20CTT2,9,5,7,6.4
33,20120033,Tran Nguyen Minh Dong,20CTT2,5,10,5,8
34,20120034,Ho Thi Kim Dung,20CTT2,5,8,6,6.9
35,20120035,Le Thi Thuy Duong,20CTT2,9,6,7,7
36,20120036,Mai Quoc Duy,20CTT2,7,8,5,7.4
37,20120037,Nguyen Thi Hong Gam,20CTT2,10,5,6,6.6
38,20120038,Nguyen Quynh Giang,20CTT2,7,9,6,8.1
39,20120039,Nguyen Thi Thu Ha,20CTT2,7,8,8,7.7
40,20120040,Tran My Han,20CTT2,5,7,9,6.6
41,20120041,Le Ngoc Thanh Hien,20CTT2,7,5,8,5.9
42,20120042,Le Viet Hien,20CTT2,5,7,5,6.2
43,20120043,Vo Minh Hieu,20CTT2,10,6,5,7.1
44,20120044,Phan My Hue,20CTT2,7,7,9,7.2
45,20120045,Nguyen Thi Kim Huong,20CTT2,8,7,6,7.2
46,20120046,Nguyen Le Hoang Huy,20CTT2,5,6,10,6.1
47,20120047,Tang Giac Huy,20CTT2,10,9,6,9
48,20120048,Dao Thi Huyen,20CTT2,7,7,10,7.3
49,20120049,Huynh Tan Thanh Kha,20CTT2,9,7,10,7.9
50,20120050,Tran Van Khai,20CTT2,5,9,6,7.5
51,20120051,Truong Vi Khang,20CTT2,6,10,6,8.4
52,20120052,Dang Dang Khoa,20CTT2,5,8,7,7
53,20120053,Nguyen Tran Nhac Khoa,20CTT2,10,9,6,9
54,20120054,Ho Le Minh Khue,20CTT2,10,9,5,8.9
55,20120055,Pham Thi Thuy Kieu,20CTT2,8,7,5,7.1
56,20120056,Pham Tran Thien Kim,20CTT2,10,10,9,9.9
57,20120057,Le Vinh Lam,20CTT2,6,10,5,8.3
58,20120058,Nguy Ngoc Hoang Lan,20CTT2,7,6,8,6.5
59,20120059,Dang Thi Yen Linh,20CTT2,6,5,8,5.6
60,20120060,Nguyen Doan Nhu Linh,20CTT2,10,5,6,6.6
61,20150001,Tran Ngoc Anh Thu,20SHH1,7,9,7,8.2
