ID STUDENT,NAME,BIRTHDAY,SEX,ID SOCIAL
20120483,Hoang1,12/12/2002,Nam,12121
20120484,Hoang2,12/13/2002,Nam,12122
20120485,Hoang3,12/14/2002,Nam,12123
20120486,Hoang4,12/15/2002,Nam,12124
20120487,Hoang5,12/16/2002,Nam,12125
20120488,Hoang6,12/17/2002,Nam,12126
20120489,Hoang7,12/18/2002,Nam,12127
20120490,Hoang8,12/19/2002,Nam,12128
20120491,Hoang9,12/20/2002,Nam,12129
20120492,Hoang10,12/21/2002,Nam,12130
20120493,Hoang11,12/22/2002,Nam,12131
20120494,Hoang12,12/23/2002,Nam,12132
20120495,Hoang13,12/24/2002,Nam,12133
20120496,Hoang14,12/25/2002,Nam,12134
20120497,Hoang15,12/26/2002,Nam,12135
20120498,Hoang16,12/27/2002,Nam,12136
20120499,Hoang17,12/28/2002,Nam,12137
20120500,Hoang18,12/29/2002,Nam,12138
20120501,Hoang19,12/30/2002,Nam,12139
