ID,Name,Birth,Sex,IDSocial
20120001,Tran Minh Canh,01/10/2000,Nam,2923044
20120002,Le Khanh Chau,11/11/2000,Nam,5331608
20120003,Vo Ngoc Quynh Chi,27/10/2000,Nu,4236960
20120004,Nguyen Tran Minh Chi,11/10/2000,Nam,4689467
20120005,Chau Quoc Cuong,09/04/2000,Nam,8628241
20120006,Nguyen Hoang Ba Dang,28/01/2000,Nu,7280408
20120007,Bui Thanh Diem,30/01/2000,Nam,8679983
20120008,Tran Thi Ngoc Dieu,26/04/2000,Nam,9955811
20120009,Nguyen Thuy Dinh,22/01/2000,Nu,6184913
20120010,Huynh Tan Du,04/05/2000,Nam,6569747
20120011,Thai Quoc Dung,08/07/2000,Nam,7850715
20120012,Le Thi Thuy Duong,08/11/2000,Nu,6091808
20120013,Nguyen Thi Thuy Duong,07/09/2000,Nam,7343282
20120014,Nguyen Quoc Duy,07/10/2000,Nam,9745941
20120015,Nguyen Pham Truong Giang,22/03/2000,Nu,6149913
20120016,Nguyen Thanh Giau,16/04/2000,Nam,5993902
20120017,Doan Huu Lam Ha,15/08/2000,Nam,6319800
20120018,Pham Ngoc Ngan Ha,11/04/2000,Nu,9148289
20120019,Tran Le Ngoc Ha,05/10/2000,Nam,3741369
20120020,Huynh Thi Hai,20/09/2000,Nam,5781906
20120021,Truong Van Thanh Hai,29/01/2000,Nu,8834785
20120022,Co Ngoc Han,16/01/2000,Nam,9726491
20120023,Ho Hoai Han,05/10/2000,Nam,2799177
20120024,Nguyen Thi Ngoc Han,07/12/2000,Nu,1843542
20120025,Dao Ngoc Hang,27/12/2000,Nam,7787337
20120026,Huynh Hong Hanh,15/01/2000,Nam,5918614
20120027,Pham Thi Minh Hanh,22/09/2000,Nu,8767599
20120028,Nguyen Ngoc Thanh Hien,13/09/2000,Nam,3612924
20120029,Nguyen Thi Thuy Hien,30/04/2000,Nam,1151250
20120030,Hoa Truong Minh Hieu,14/08/2000,Nu,8017791
18120006,Nguyen Ho Nam,07/09/2000,Nu,1089851
18120007,Phan Nguyen Hoai Nam,06/08/2000,Nam,7583033
18120008,Bo Khanh Ngoc,11/08/2000,Nam,2610091
18120009,Nguyen Ba Thao Nguyen,27/11/2000,Nu,2663100
18120010,Nguyen Nhat Yen Phuong,19/01/2000,Nam,8728294
18120011,Tran Nguyen Tan,29/09/2000,Nam,7720238
18120012,Nguyen Hoang Phuc Tien,14/11/2000,Nu,2628907
18120013,Nguyen Le Phuong Trang,11/04/2000,Nam,5344463
18120014,Pham Thi Kim Thanh,15/01/2000,Nam,6274703
18120015,Pham Thi Bich Van,29/01/2000,Nu,4251249
19120057,Dinh Hoai Phuc,25/10/2000,Nam,4945850
19120059,Nguyen Hanh Phuc,26/11/2000,Nam,3944792
19120061,Nguyen Kim Phuc,10/12/2000,Nu,2355896
19120063,Nguyen Vuong Hoang Phuc,26/03/2000,Nam,6636008
19120065,Vo Nguyen Huu Phuoc,24/11/2000,Nam,2891017
19120067,Cao Xuan Hong Phuong,03/08/2000,Nu,4765280
19120069,Dang Thi Hoang Phuong,08/12/2000,Nam,4770602
19120071,Nguyen Hoang Phuong,19/05/2000,Nam,6354966
19120073,Nguyen Nam Phuong,29/05/2000,Nu,1479640
19120075,Tran Thi Thu Phuong,04/10/2000,Nam,7280101
19120077,Bui Dinh Minh Quan,09/10/2000,Nam,7043774
19120079,Nguyen Hoang Quan,03/02/2000,Nu,7601726
19120081,Nguyen Minh Quan,18/03/2000,Nam,2013507
19120083,Tran Quan,12/05/2000,Nam,1740123
19120085,Vo Minh Quan,01/07/2000,Nu,9742689
19120087,Huynh Nhat Quang,20/12/2000,Nam,9365492
19120089,Vo Phan Thi To Quyen,13/02/2000,Nam,7602135
19120091,Ho Thi Nhu Quynh,19/08/2000,Nu,3959861
19120093,Bui Huynh Phuoc Sang,02/11/2000,Nam,5450677
19120095,Tran Ngoc Son,28/04/2000,Nam,3762283
19120265,Ngo Thi Uyen,13/12/2000,Nam,7871205
19120266,Le Khanh Vinh,04/11/2000,Nam,7430609
19120267,Thai Minh Vu,02/01/2000,Nu,9089195
19120268,Doan Trieu Vy,05/12/2000,Nam,5410090
19120269,Huynh Thuy Vy,09/10/2000,Nam,6178796
19120270,Le Yen Vy,19/07/2000,Nu,1052443
19120271,Luong Cam Vy,18/06/2000,Nam,2652547
19120272,Nguyen Pham Tuong Vy,24/06/2000,Nam,7262739
19120273,Nguyen Pham Tuong Vy,02/01/2000,Nu,7510026
19120274,Pham Ngoc Thuy Vy,26/03/2000,Nam,3537269
19120275,Tran Thanh Vy,09/10/2000,Nam,4055975
19120276,Hua Kim Yen,24/08/2000,Nu,7060410
19120277,Nguyen Quynh Anh,25/12/2000,Nam,1169885
19120278,Nguyen Thi Kim Anh,09/09/2000,Nam,3008957
19120279,Mai Duc Canh,17/06/2000,Nu,8503925
