ID,Name,Birth,Sex,IDSocial
20120001,Tran Minh Canh,01/10/2000,Nam,2923044
20120002,Le Khanh Chau,11/11/2000,Nam,5331608
20120003,Vo Ngoc Quynh Chi,27/10/2000,Nu,4236960
20120004,Nguyen Tran Minh Chi,11/10/2000,Nam,4689467
20120005,Chau Quoc Cuong,09/04/2000,Nam,8628241
20120006,Nguyen Hoang Ba Dang,28/01/2000,Nu,7280408
20120007,Bui Thanh Diem,30/01/2000,Nam,8679983
20120008,Tran Thi Ngoc Dieu,26/04/2000,Nam,9955811
20120009,Nguyen Thuy Dinh,22/01/2000,Nu,6184913
20120010,Huynh Tan Du,04/05/2000,Nam,6569747
18110001,Nguyen Hoang Gia Linh,09/08/2000,Nam,7239651
18110004,Nguyen Thi Truc Linh,12/07/2000,Nam,4339550
18110007,Tran Quang Linh,11/07/2000,Nu,5598758
18110010,Nguyen Huu Loc,23/05/2000,Nam,2587232
18110013,Nguyen Cam Ly,08/02/2000,Nam,5454686
18110016,Nguyen Quang Minh,27/05/2000,Nu,4660416
18110019,Ta Duong Anh Minh,13/11/2000,Nam,2499353
18110022,Ngo Quynh My,11/01/2000,Nam,6928825
18110025,Nguyen Mai Nhat My,02/07/2000,Nu,4935881
18110028,Tran Thi Truc My,21/07/2000,Nam,4886718
18110031,Dang Hoang Nam,14/01/2000,Nam,9063093
18110034,Ly Kim Ngan,07/11/2000,Nu,5148855
18110037,Nguyen Huynh Kim Ngan,15/05/2000,Nam,7525081
18110040,Tran Vu Kim Ngan,18/12/2000,Nam,3364640
18110043,Luong Ngoc Nghi,23/04/2000,Nu,9165601
18110046,Nguyen Phuong Nghi,18/02/2000,Nam,7034521
18110049,Tran Phuong Nghi,28/02/2000,Nam,6376942
18110052,Truong Tu Nghi,02/04/2000,Nu,8107546
18110055,Tran Le Thanh Ngoc,16/07/2000,Nam,9538736
18110058,Do Ngoc Phuong Nhi,08/01/2000,Nam,4704195
18110061,Nguyen Ngoc Nhu,04/08/2000,Nu,9875786
18110064,Tran Quynh Nhu,09/03/2000,Nam,9860002
18110067,Van Cam Nhung,16/10/2000,Nam,1216374
18110070,Ha Hoang Oanh,12/07/2000,Nu,1315471
18110073,Bui Tan Phat,04/01/2000,Nam,7419309
18110076,Nguyen Tan Phat,30/05/2000,Nam,6192477
18110079,Quach Hong Phat,05/02/2000,Nu,2978609
18110082,Huynh Yen Phi,27/04/2000,Nam,7099102
18110085,Nguyen Dinh Phi,09/08/2000,Nam,6292278
18110088,Lam Dinh Gia Phu,07/05/2000,Nu,2141377
19170040,Ho Ngoc Thao Tien,05/04/2000,Nu,6773088
19170041,Nguyen Huynh Thuy Tien,07/09/2000,Nam,2740475
19170042,Pham Thanh Toan,15/06/2000,Nam,2413356
19170043,Vo Hoai Nhu Truc,18/10/2000,Nu,2243065
19170044,Le Ngoc Minh Tuyen,25/11/2000,Nam,7670792
19170045,Truong Nhat Uyen,14/12/2000,Nam,7078102
19170046,Ngo Minh Chau,29/03/2000,Nu,7805730
19170047,Duong Tan Dat,15/11/2000,Nam,1345252
19170048,Tran Thi My Dieu,10/01/2000,Nam,5379104
19170049,Do Huy Du,10/10/2000,Nu,3877441
