STT,MSSV,TEN,LOP,DIEM GIUA KI,DIEM CUOI KI,DIEM KHAC,TONG KET
1,18120033,A Thai,18CTT2,8,9,10,8.8
2,18120034,Cao Hung,18CTT2,9,4,10,6.1
3,18120035,Cao Thai,18CTT2,6,7,3,6.3
4,18120036,Cortana,18CTT2,10,6,5,7.1
5,18120037,Co Vo ,18CTT2,3,8,5,6.2
6,18120038,Truong A,18CTT2,4,7,10,6.4
7,18120039,Eo Thi Xa,18CTT2,4,7,9,6.3
8,18120040,Hua Vo Thien,18CTT2,10,7,9,8.1
9,18120041,Han Lap,18CTT2,7,10,5,8.6
10,18120042,Huy Hoang,18CTT2,6,3,4,4
11,18120043,Ghe Sa,18CTT2,7,5,4,5.5
12,18120044,Khuong An An,18CTT2,3,9,8,7.1
13,18120045,Khuong Vong,18CTT2,10,5,10,7
14,18120046,Lam Bao Ngoc,18CTT2,4,5,7,4.9
15,18120047,Lam Van Thien,18CTT2,4,3,4,3.4
16,18120048,Long Tuoc,18CTT2,3,10,6,7.5
17,18120049,Luc Tram,18CTT2,4,4,8,4.4
18,18120050,Mieu A Cau,18CTT2,8,10,8,9.2
19,18120051,Nga Tam,18CTT2,3,10,6,7.5
20,18120052,Ngo Th?a An,18CTT2,9,9,10,9.1
21,18120053,Nguyen Hoa,18CTT2,4,8,10,7
22,18120054,Nguyen Thi A,18CTT2,7,3,3,4.2
23,18120055,Thien Sinh,18CTT2,3,3,5,3.2
24,18120056,Tran Binh An,18CTT2,6,7,10,7
25,18120057,Tran Vong Tinh,18CTT2,6,8,3,6.9
26,18120058,Truong Tieu Pham,18CTT2,7,3,7,4.6
27,18120059,Vuong Chi Hao,18CTT2,10,7,7,7.9
28,18120060,Vuong Thong Thien,18CTT2,5,4,6,4.5
29,18120061,Vuong Vong Thien,18CTT2,6,9,4,7.6
30,18120062,Vuong Trieu,18CTT2,9,5,6,6.3
31,18110001,Nguyen Hoang Gia Linh,18TTH1,10,8,7,8.5
32,18110004,Nguyen Thi Truc Linh,18TTH1,3,8,6,6.3
33,18110007,Tran Quang Linh,18TTH1,10,7,3,7.5
34,18110010,Nguyen Huu Loc,18TTH1,10,5,8,6.8
35,18110013,Nguyen Cam Ly,18TTH1,7,6,6,6.3
36,18110016,Nguyen Quang Minh,18TTH1,7,5,8,5.9
37,18110019,Ta Duong Anh Minh,18TTH1,8,3,6,4.8
38,18110022,Ngo Quynh My,18TTH1,10,10,6,9.6
39,18110025,Nguyen Mai Nhat My,18TTH1,7,8,3,7.2
40,18110028,Tran Thi Truc My,18TTH1,3,8,6,6.3
41,18110031,Dang Hoang Nam,18TTH1,9,8,7,8.2
42,18110034,Ly Kim Ngan,18TTH1,9,10,6,9.3
43,18110037,Nguyen Huynh Kim Ngan,18TTH1,7,5,3,5.4
44,18110040,Tran Vu Kim Ngan,18TTH1,5,6,8,5.9
45,18110043,Luong Ngoc Nghi,18TTH1,9,9,6,8.7
46,18110046,Nguyen Phuong Nghi,18TTH1,5,6,8,5.9
47,18110049,Tran Phuong Nghi,18TTH1,3,5,7,4.6
48,18110052,Truong Tu Nghi,18TTH1,4,7,4,5.8
49,18110055,Tran Le Thanh Ngoc,18TTH1,5,8,8,7.1
50,18110058,Do Ngoc Phuong Nhi,18TTH1,4,10,7,7.9
51,18110061,Nguyen Ngoc Nhu,18TTH1,5,8,8,7.1
52,18110064,Tran Quynh Nhu,18TTH1,8,7,10,7.6
53,18110067,Van Cam Nhung,18TTH1,10,7,3,7.5
54,18110070,Ha Hoang Oanh,18TTH1,10,6,7,7.3
55,18110073,Bui Tan Phat,18TTH1,5,8,4,6.7
56,18110076,Nguyen Tan Phat,18TTH1,5,8,10,7.3
57,18110079,Quach Hong Phat,18TTH1,7,7,7,7
58,18110082,Huynh Yen Phi,18TTH1,4,10,4,7.6
59,18110085,Nguyen Dinh Phi,18TTH1,7,3,6,4.5
60,18110088,Lam Dinh Gia Phu,18TTH1,10,9,3,8.7
61,17120001,Thong Qua,17CTT1,8,10,3,8.7
62,17120002,Mot Loat,17CTT1,10,3,8,5.6
63,17120003,Nhien Cuu,17CTT1,8,5,4,5.8
64,17120004,Nhanh cham,17CTT1,4,8,10,7
65,17120005,Sao Tai,17CTT1,8,5,6,6
66,17120006,Hoan Toan,17CTT1,5,7,5,6.2
67,17120007,Van Toan,17CTT1,9,3,8,5.3
68,17120008,Nhu Y,17CTT1,8,3,3,4.5
69,17120009,Ngoc Tram,17CTT1,8,8,8,8
70,17120010,Tram Tinh ,17CTT1,8,7,6,7.2
71,17120011,Vo Menh,17CTT1,6,7,8,6.8
72,17120012,Song Senh,17CTT1,7,10,10,9.1
