ID,Name,Birth,Sex,Idsocial
19120250,Tran Ngoc Anh Thu,27/07/2000,Nam,7790911
19120251,Nguyen Thi Cam Tien,02/06/2000,Nam,1950289
19120252,Tran Thuy Tien,14/03/2000,Nu,1772829
19120253,Tran Que Tram,30/11/2000,Nam,1276710
19120254,Nguyen Thi Tuyet Tran,03/06/2000,Nam,6712140
19120255,Bui Thi Le Trang,22/08/2000,Nu,3025703
19120256,Pham Thi Phuong Trang,11/06/2000,Nam,5564892
19120257,Pham Doan Minh Tri,07/02/2000,Nam,9627640
19120258,Le Pham Minh Triet,21/01/2000,Nu,8370511
19120259,Kieu Phuong Tu,02/03/2000,Nam,9224046
19120260,Dang Hoang Minh Tuan,04/03/2000,Nam,5809439
19120261,Nguyen Quoc Tuan,14/03/2000,Nu,3607677
19120262,Nguyen Ngoc Khanh Tuong,03/08/2000,Nam,8992320
19120263,Thai Thi Huynh Tuyen,07/04/2000,Nam,2750422
19120264,Lam My Uyen,18/05/2000,Nu,2379759
19120265,Ngo Thi Uyen,13/12/2000,Nam,7871205
19120266,Le Khanh Vinh,04/11/2000,Nam,7430609
19120267,Thai Minh Vu,02/01/2000,Nu,9089195
19120268,Doan Trieu Vy,05/12/2000,Nam,5410090
19120269,Huynh Thuy Vy,09/10/2000,Nam,6178796
19120270,Le Yen Vy,19/07/2000,Nu,1052443
19120271,Luong Cam Vy,18/06/2000,Nam,2652547
19120272,Nguyen Pham Tuong Vy,24/06/2000,Nam,7262739
19120273,Nguyen Pham Tuong Vy,02/01/2000,Nu,7510026
19120274,Pham Ngoc Thuy Vy,26/03/2000,Nam,3537269
19120275,Tran Thanh Vy,09/10/2000,Nam,4055975
19120276,Hua Kim Yen,24/08/2000,Nu,7060410
19120277,Nguyen Quynh Anh,25/12/2000,Nam,1169885
19120278,Nguyen Thi Kim Anh,09/09/2000,Nam,3008957
19120279,Mai Duc Canh,17/06/2000,Nu,8503925
19170020,Nguyen Thi Thuy Duong,01/05/2001,Nam,4409634
19170021,Phan Thi Ngoc Duyen,29/06/2001,Nam,8251799
19170022,Bui Ngoc Cam Giang,01/08/2001,Nu,6313984
19170023,Nguyen Huu Tuan Hiep,02/09/2001,Nam,8290972
19170024,Tran Thi Hoai My,08/02/2001,Nam,1913528
19170025,Dang Gia Huong,20/07/2001,Nu,5462502
19170026,Le Thai Phuong Khanh,22/08/2001,Nam,9810384
19170027,Phan Dang Khoi,31/05/2001,Nam,6252913
19170028,Nguyen Trong Khuong,07/03/2001,Nu,3516018
19170029,Do Thi Phuong Linh,05/02/2001,Nam,4750001
19170030,Le Hoang Minh,23/08/2001,Nam,7314371
19170031,Duong My Mui,25/12/2001,Nu,8229894
19170032,Ho Thi My My,27/03/2001,Nam,9788567
19170033,Nguyen Thi Thien Nga,13/07/2001,Nam,7673306
19170034,Lai Truc Phuong,29/11/2001,Nu,1955086
19170035,Le Nguyen Cuc Phuong,13/10/2001,Nam,3781196
19170036,Nguyen Thien Quang,17/07/2001,Nam,6666611
19170037,Tran Tu Quyen,18/09/2001,Nu,6173242
19170038,Nguyen Nhu Quynh,14/08/2001,Nam,5452463
19170039,Lam Thi Thu Thao,23/06/2001,Nam,8055699
19170040,Ho Ngoc Thao Tien,30/12/2001,Nu,6773088
19170041,Nguyen Huynh Thuy Tien,14/12/2001,Nam,2740475
